,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tyrese Maxey,36:19,9,20,.450,5,12,.417,8,9,.889,0,3,3,8,1,0,0,2,31,+25
1,Joel Embiid,30:50,9,15,.600,2,3,.667,10,12,.833,4,7,11,11,1,1,3,2,30,+11
2,Nicolas Batum,28:56,4,7,.571,2,3,.667,0,0,,3,4,7,4,3,0,0,3,10,+30
3,De'Anthony Melton,25:09,3,6,.500,3,6,.500,0,0,,0,0,0,2,1,0,0,2,9,+11
4,Tobias Harris,22:59,3,12,.250,0,4,.000,2,2,1.000,0,5,5,0,0,0,1,1,8,+7
5,player,,,,,,,,,,,,,,,,,,,,
6,Patrick Beverley,24:29,4,9,.444,4,8,.500,0,0,,2,4,6,3,0,0,1,2,12,+26
7,Marcus Morris,19:32,6,8,.750,4,5,.800,0,0,,0,1,1,0,1,0,0,2,16,+24
8,Robert Covington,18:08,0,3,.000,0,2,.000,0,0,,3,4,7,2,0,1,0,1,0,+14
9,Paul Reed,17:10,4,5,.800,1,1,1.000,0,0,,1,2,3,0,2,0,0,1,9,+33
10,Mo Bamba,5:29,3,4,.750,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,7,+13
11,Furkan Korkmaz,5:29,2,4,.500,0,1,.000,1,1,1.000,0,0,0,3,2,0,0,0,5,+13
12,KJ Martin,5:29,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,0,1,1,+13
