,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paul George,31:13,11,18,.611,3,6,.500,0,0,,0,4,4,7,2,0,2,4,25,+26
1,Kawhi Leonard,30:14,12,16,.750,5,6,.833,7,7,1.000,1,6,7,4,2,0,0,1,36,+15
2,James Harden,28:11,2,6,.333,1,4,.250,5,7,.714,0,4,4,12,1,2,1,3,10,+22
3,Ivica Zubac,27:35,5,9,.556,0,0,,3,4,.750,4,7,11,2,1,2,0,2,13,+29
4,Terance Mann,26:36,4,8,.500,2,4,.500,3,3,1.000,0,1,1,4,0,0,0,1,13,+19
5,player,,,,,,,,,,,,,,,,,,,,
6,Norman Powell,24:25,6,10,.600,1,2,.500,3,3,1.000,0,2,2,0,0,1,1,1,16,+9
7,Amir Coffey,16:46,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,3,3,+1
8,Russell Westbrook,15:06,4,7,.571,0,1,.000,2,4,.500,3,3,6,4,1,0,0,1,10,+2
9,Daniel Theis,14:57,1,3,.333,0,0,,5,6,.833,0,1,1,0,1,0,0,4,7,-3
10,Kobe Brown,4:59,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,-2
11,Brandon Boston Jr.,4:59,1,3,.333,1,3,.333,0,0,,0,2,2,2,0,0,0,1,3,-2
12,Joshua Primo,4:59,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,3,0,2,-2
13,Jordan Miller,4:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2
14,Xavier Moon,4:59,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-2
15,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,
