,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jamal Murray,34:07,8,15,.533,3,5,.600,1,1,1.000,0,2,2,9,0,0,2,3,20,+18
1,Michael Porter Jr.,33:23,8,12,.667,2,5,.400,2,3,.667,1,9,10,1,1,1,1,2,20,+14
2,Nikola Jokić,32:11,11,17,.647,1,2,.500,4,4,1.000,3,7,10,14,0,1,2,4,27,+12
3,Kentavious Caldwell-Pope,31:00,4,9,.444,3,6,.500,0,0,,0,2,2,3,2,0,0,0,11,+9
4,Aaron Gordon,30:59,7,12,.583,0,2,.000,1,3,.333,3,2,5,2,0,0,2,2,15,+9
5,player,,,,,,,,,,,,,,,,,,,,
6,Reggie Jackson,24:21,5,10,.500,2,5,.400,0,0,,0,2,2,0,1,0,3,1,12,+4
7,Christian Braun,16:43,1,4,.250,1,4,.250,1,2,.500,1,5,6,0,0,0,3,2,4,+7
8,Peyton Watson,15:05,3,7,.429,2,4,.500,0,0,,1,2,3,0,1,1,0,1,8,+9
9,DeAndre Jordan,13:53,2,2,1.000,0,0,,2,2,1.000,1,6,7,1,0,1,0,1,6,+6
10,Collin Gillespie,1:56,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-6
11,Justin Holiday,1:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6
12,Jay Huff,1:56,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
13,Zeke Nnaji,1:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
14,Braxton Key,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
