,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Devin Booker,36:25,12,23,.522,3,6,.500,5,5,1.000,1,3,4,7,1,1,2,5,32,+15
1,Jusuf Nurkić,30:57,3,9,.333,1,3,.333,10,11,.909,3,10,13,7,1,0,1,3,17,+10
2,Bradley Beal,27:27,5,12,.417,1,3,.333,5,7,.714,0,3,3,3,1,1,3,3,16,-15
3,Chimezie Metu,25:22,5,7,.714,3,5,.600,1,2,.500,1,4,5,0,1,0,1,2,14,+28
4,Josh Okogie,11:29,3,4,.750,3,4,.750,1,2,.500,1,1,2,2,0,1,0,1,10,+6
5,player,,,,,,,,,,,,,,,,,,,,
6,Eric Gordon,31:42,3,11,.273,1,6,.167,1,1,1.000,0,0,0,0,0,0,1,1,8,-12
7,Jordan Goodwin,29:41,5,10,.500,1,5,.200,5,5,1.000,0,5,5,6,2,1,1,3,16,-10
8,Yuta Watanabe,19:56,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,1,1,2,3,+11
9,Drew Eubanks,16:54,1,1,1.000,0,0,,1,1,1.000,1,5,6,1,1,2,3,1,3,-7
10,Keita Bates-Diop,5:32,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,+5
11,Bol Bol,4:35,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-16
