,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Julius Randle,36:36,14,19,.737,2,2,1.000,11,12,.917,3,3,6,5,0,0,4,3,41,-21
1,Jalen Brunson,34:14,10,22,.455,0,5,.000,4,7,.571,0,3,3,6,1,0,3,1,24,-14
2,RJ Barrett,31:28,7,18,.389,1,4,.250,8,8,1.000,3,5,8,1,0,0,2,0,23,-6
3,Mitchell Robinson,27:12,1,2,.500,0,0,,0,0,,1,3,4,3,2,1,2,2,2,-10
4,Quentin Grimes,18:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,4,0,-3
5,player,,,,,,,,,,,,,,,,,,,,
6,Josh Hart,25:41,5,8,.625,1,1,1.000,0,0,,1,3,4,1,3,0,0,3,11,-14
7,Immanuel Quickley,19:00,1,7,.143,1,4,.250,4,4,1.000,0,1,1,3,0,0,1,0,7,-10
8,Isaiah Hartenstein,17:58,2,3,.667,0,0,,0,0,,4,3,7,5,0,2,1,2,4,-12
9,Donte DiVincenzo,17:02,2,5,.400,1,4,.250,2,2,1.000,0,1,1,2,0,0,0,2,7,-12
10,Jericho Sims,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
11,Miles McBride,2:29,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-4
12,Ryan Arcidiacono,2:29,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-4
13,Charlie Brown Jr.,2:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-4
14,Jacob Toppin,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-4
15,Jaylen Martin,Did Not Play,,,,,,,,,,,,,,,,,,,
