,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Miles Bridges,40:00,.738,.712,.385,.154,0.0,0.0,0.0,17.3,0.0,0.0,3.5,31.0,140,125,8.0
1,Ish Smith,34:11,.444,.444,.000,.000,0.0,7.8,3.4,20.4,2.7,0.0,18.2,13.9,93,118,-7.0
2,Brandon Miller,33:06,.638,.620,.440,.080,3.2,12.1,7.1,15.5,5.5,0.0,7.2,36.4,116,111,7.9
3,Nick Richards,32:23,.410,.250,.000,.500,3.2,32.9,16.3,3.3,0.0,2.7,17.0,7.8,88,119,-10.0
4,Leaky Black,15:46,.250,.250,.500,.000,6.6,33.8,18.6,13.9,0.0,0.0,0.0,11.0,88,121,-7.4
5,player,,,,,,,,,,,,,,,,
6,P.J. Washington,33:57,.476,.464,.357,.286,3.1,27.5,13.8,14.7,1.4,0.0,0.0,20.0,107,118,-2.5
7,Bryce McGowens,23:55,.635,.643,.143,.286,4.4,16.7,9.8,5.1,3.8,0.0,20.2,17.8,103,114,-4.2
8,Nick Smith Jr.,19:40,.357,.357,.429,.000,0.0,13.6,6.0,23.2,0.0,0.0,12.5,17.6,83,123,-9.8
9,JT Thor,7:02,,,,,0.0,0.0,0.0,14.5,0.0,0.0,,0.0,228,124,-5.1
10,James Bouknight,Did Not Play,,,,,,,,,,,,,,,
11,Nathan Mensah,Did Not Play,,,,,,,,,,,,,,,
12,Frank Ntilikina,Did Not Dress,,,,,,,,,,,,,,,
