,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Donovan Mitchell,37:22,9,20,.450,4,9,.444,14,17,.824,1,3,4,6,3,0,3,2,36,+10,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
1,Jarrett Allen,37:00,9,13,.692,0,0,,3,4,.750,4,6,10,3,0,1,3,2,21,+10,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
2,Darius Garland,30:39,9,16,.563,3,8,.375,0,0,,0,0,0,9,1,0,0,0,21,-8,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
3,Max Strus,29:53,4,7,.571,2,5,.400,0,0,,2,2,4,4,0,0,1,3,10,+5,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
4,Evan Mobley,27:53,6,11,.545,1,2,.500,1,2,.500,2,8,10,3,2,4,1,2,14,-11,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
6,Caris LeVert,26:40,5,14,.357,1,6,.167,0,0,,2,2,4,6,0,1,1,4,11,-5,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
7,Isaac Okoro,23:09,2,6,.333,2,4,.500,2,2,1.000,3,2,5,1,0,1,0,2,8,0,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
8,Georges Niang,18:07,0,4,.000,0,2,.000,0,0,,1,4,5,0,0,1,1,2,0,-7,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
9,Sam Merrill,9:17,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-4,Philadelphia76ers,Cleveland Cavaliers,2024-02-12
10,Ty Jerome,Did Not Dress,Philadelphia76ers,Cleveland Cavaliers,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Damian Jones,0:0,Philadelphia76ers,Cleveland Cavaliers,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Zhaire Smith,0:0,Philadelphia76ers,Cleveland Cavaliers,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
