,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Keegan Murray,31:36,11,18,.611,3,7,.429,0,0,,0,6,6,3,0,1,0,2,25,+5,Sacramento Kings,Charlotte Hornets,2024-01-10
1,De'Aaron Fox,28:14,8,14,.571,3,7,.429,0,2,.000,0,1,1,3,1,1,1,0,19,+25,Sacramento Kings,Charlotte Hornets,2024-01-10
2,Domantas Sabonis,27:58,9,13,.692,1,2,.500,5,6,.833,1,9,10,7,0,1,2,2,24,-4,Sacramento Kings,Charlotte Hornets,2024-01-10
3,Harrison Barnes,22:18,2,4,.500,2,4,.500,0,0,,1,1,2,1,0,0,1,0,6,-3,Sacramento Kings,Charlotte Hornets,2024-01-10
4,Kevin Huerter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2,Sacramento Kings,Charlotte Hornets,2024-01-10
6,Malik Monk,29:48,6,13,.462,1,5,.200,7,7,1.000,0,4,4,4,0,2,1,0,20,+17,Sacramento Kings,Charlotte Hornets,2024-01-10
7,Trey Lyles,21:11,2,4,.500,2,4,.500,2,4,.500,1,4,5,2,0,0,1,1,8,+27,Sacramento Kings,Charlotte Hornets,2024-01-10
8,Juan Toscano-Anderson,16:41,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,0,2,2,+20,Sacramento Kings,Charlotte Hornets,2024-01-10
9,Alex Len,15:31,4,6,.667,0,0,,0,0,,4,6,10,1,1,1,1,2,8,+28,Sacramento Kings,Charlotte Hornets,2024-01-10
10,Colby Jones,13:54,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,+1,Sacramento Kings,Charlotte Hornets,2024-01-10
11,Chris Duarte,13:45,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,0,2,0,+5,Sacramento Kings,Charlotte Hornets,2024-01-10
12,Keon Ellis,9:21,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,1,0,2,3,+4,Sacramento Kings,Charlotte Hornets,2024-01-10
13,JaVale McGee,4:31,2,5,.400,0,0,,4,4,1.000,4,3,7,0,0,0,2,0,8,+1,Sacramento Kings,Charlotte Hornets,2024-01-10
14,Davion Mitchell,4:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1,Sacramento Kings,Charlotte Hornets,2024-01-10
15,Sasha Vezenkov,0:0,Sacramento Kings,Charlotte Hornets,2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
