,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Nikola Jokić,37:01,13,19,.684,3,4,.750,2,2,1.000,2,11,13,10,0,1,1,3,31,+9,Denver Nuggets,Indiana Pacers,2024-01-23
1,Jamal Murray,36:47,11,24,.458,3,9,.333,6,6,1.000,2,6,8,7,0,0,3,1,31,+17,Denver Nuggets,Indiana Pacers,2024-01-23
2,Kentavious Caldwell-Pope,34:46,5,12,.417,2,6,.333,2,2,1.000,2,3,5,0,1,0,1,3,14,+7,Denver Nuggets,Indiana Pacers,2024-01-23
3,Aaron Gordon,32:16,3,5,.600,0,1,.000,3,3,1.000,0,1,1,1,0,2,0,3,9,+5,Denver Nuggets,Indiana Pacers,2024-01-23
4,Michael Porter Jr.,30:39,2,9,.222,1,5,.200,0,0,,0,4,4,1,0,1,0,1,5,+7,Denver Nuggets,Indiana Pacers,2024-01-23
6,Reggie Jackson,24:27,6,11,.545,1,4,.250,0,0,,0,2,2,2,2,1,2,3,13,-14,Denver Nuggets,Indiana Pacers,2024-01-23
7,Peyton Watson,18:39,2,4,.500,1,2,.500,2,2,1.000,0,2,2,0,1,2,2,1,7,-3,Denver Nuggets,Indiana Pacers,2024-01-23
8,Christian Braun,14:41,1,3,.333,0,2,.000,0,0,,3,1,4,0,1,1,0,0,2,-1,Denver Nuggets,Indiana Pacers,2024-01-23
9,DeAndre Jordan,10:44,1,1,1.000,0,0,,0,2,.000,2,1,3,1,0,1,1,2,2,-2,Denver Nuggets,Indiana Pacers,2024-01-23
10,Justin Holiday,0:0,Denver Nuggets,Indiana Pacers,2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jay Huff,0:0,Denver Nuggets,Indiana Pacers,2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Zeke Nnaji,0:0,Denver Nuggets,Indiana Pacers,2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jalen Pickett,0:0,Denver Nuggets,Indiana Pacers,2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Hunter Tyson,0:0,Denver Nuggets,Indiana Pacers,2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
