,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jalen Williams,41:01,.590,.500,.125,.375,0.0,14.9,8.1,9.3,1.2,0.0,5.1,21.4,122,117,-1.7,Oklahoma City Thunder,Golden State Warriors,2023-11-18
1,Shai Gilgeous-Alexander,40:41,.669,.655,.103,.069,3.0,15.0,9.5,27.4,2.4,5.1,9.1,36.1,126,112,13.4,Oklahoma City Thunder,Golden State Warriors,2023-11-18
2,Chet Holmgren,36:57,.718,.682,.227,.318,13.0,16.6,14.9,22.5,2.7,5.6,13.8,35.1,132,110,13.9,Oklahoma City Thunder,Golden State Warriors,2023-11-18
3,Luguentz Dort,26:54,.250,.250,.667,.000,4.5,18.9,12.3,7.9,0.0,0.0,0.0,10.0,82,119,-7.5,Oklahoma City Thunder,Golden State Warriors,2023-11-18
4,Josh Giddey,22:21,.506,.450,.200,.200,10.8,13.7,12.4,11.2,2.2,9.3,0.0,21.7,121,110,4.9,Oklahoma City Thunder,Golden State Warriors,2023-11-18
6,Cason Wallace,28:03,.436,.333,.667,.333,0.0,3.6,2.0,7.5,0.0,0.0,0.0,5.5,114,124,-7.2,Oklahoma City Thunder,Golden State Warriors,2023-11-18
7,Isaiah Joe,26:39,.556,.556,.444,.000,0.0,15.3,8.3,13.5,1.9,3.9,0.0,15.1,123,113,3.4,Oklahoma City Thunder,Golden State Warriors,2023-11-18
8,Kenrich Williams,22:15,.129,.000,.333,.667,5.4,13.7,9.9,4.6,2.2,0.0,0.0,7.8,64,115,-8.0,Oklahoma City Thunder,Golden State Warriors,2023-11-18
9,Vasilije Micić,7:53,1.000,1.000,.000,.000,0.0,0.0,0.0,14.8,0.0,0.0,0.0,5.7,204,126,0.3,Oklahoma City Thunder,Golden State Warriors,2023-11-18
10,Aaron Wiggins,6:22,,,,,0.0,32.0,17.3,16.0,0.0,0.0,100.0,14.0,25,114,-14.6,Oklahoma City Thunder,Golden State Warriors,2023-11-18
11,Jaylin Williams,5:51,1.000,1.000,.000,.000,0.0,34.8,18.9,0.0,0.0,0.0,0.0,7.6,200,113,2.9,Oklahoma City Thunder,Golden State Warriors,2023-11-18
12,Dāvis Bertāns,0:0,Oklahoma City Thunder,Golden State Warriors,2023-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Tre Mann,0:0,Oklahoma City Thunder,Golden State Warriors,2023-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aleksej Pokusevski,0:0,Oklahoma City Thunder,Golden State Warriors,2023-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
