,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Franz Wagner,32:21,6,13,.462,2,7,.286,0,0,,1,7,8,3,0,1,3,4,14,+5,Orlando Magic,Los Angeles Clippers,2023-10-31
1,Markelle Fultz,32:12,6,11,.545,0,0,,0,1,.000,1,4,5,1,1,0,2,3,12,-16,Orlando Magic,Los Angeles Clippers,2023-10-31
2,Paolo Banchero,32:03,5,13,.385,1,3,.333,4,8,.500,0,4,4,4,4,0,3,3,15,-15,Orlando Magic,Los Angeles Clippers,2023-10-31
3,Jalen Suggs,31:36,5,10,.500,1,5,.200,0,0,,2,4,6,3,1,1,3,5,11,-12,Orlando Magic,Los Angeles Clippers,2023-10-31
4,Wendell Carter Jr.,29:42,2,8,.250,0,2,.000,3,6,.500,1,7,8,3,1,0,2,2,7,-16,Orlando Magic,Los Angeles Clippers,2023-10-31
6,Gary Harris,17:45,3,5,.600,2,4,.500,1,3,.333,0,2,2,2,1,0,0,1,9,0,Orlando Magic,Los Angeles Clippers,2023-10-31
7,Cole Anthony,17:31,3,6,.500,0,2,.000,4,6,.667,0,2,2,1,0,0,1,3,10,-18,Orlando Magic,Los Angeles Clippers,2023-10-31
8,Moritz Wagner,14:22,4,7,.571,0,2,.000,5,6,.833,0,1,1,1,1,1,1,2,13,+1,Orlando Magic,Los Angeles Clippers,2023-10-31
9,Joe Ingles,12:48,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-4,Orlando Magic,Los Angeles Clippers,2023-10-31
10,Caleb Houstan,3:56,2,5,.400,1,4,.250,1,1,1.000,0,0,0,0,0,0,0,0,6,-1,Orlando Magic,Los Angeles Clippers,2023-10-31
11,Jett Howard,3:56,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1,Orlando Magic,Los Angeles Clippers,2023-10-31
12,Chuma Okeke,3:56,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,2,-1,Orlando Magic,Los Angeles Clippers,2023-10-31
13,Goga Bitadze,3:56,0,0,,0,0,,1,2,.500,1,0,1,3,0,0,0,0,1,-1,Orlando Magic,Los Angeles Clippers,2023-10-31
14,Anthony Black,3:56,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1,Orlando Magic,Los Angeles Clippers,2023-10-31
