,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Anthony Davis,38:12,12,18,.667,0,1,.000,2,3,.667,2,17,19,5,1,3,1,3,26,-2,Orlando Magic,Los Angeles Lakers,2023-10-30
1,D'Angelo Russell,36:22,10,14,.714,3,6,.500,5,5,1.000,0,2,2,8,1,1,3,4,28,+7,Orlando Magic,Los Angeles Lakers,2023-10-30
2,LeBron James,32:47,7,17,.412,2,6,.333,3,4,.750,0,3,3,4,3,1,5,0,19,+5,Orlando Magic,Los Angeles Lakers,2023-10-30
3,Austin Reaves,31:19,5,12,.417,1,4,.250,0,0,,0,3,3,3,0,1,3,0,11,-14,Orlando Magic,Los Angeles Lakers,2023-10-30
4,Taurean Prince,26:28,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,1,0,3,4,-5,Orlando Magic,Los Angeles Lakers,2023-10-30
6,Christian Wood,26:29,3,6,.500,1,4,.250,2,4,.500,1,8,9,3,0,3,3,3,9,+12,Orlando Magic,Los Angeles Lakers,2023-10-30
7,Gabe Vincent,24:34,4,7,.571,1,3,.333,0,0,,0,0,0,2,1,0,0,2,9,+10,Orlando Magic,Los Angeles Lakers,2023-10-30
8,Cam Reddish,14:00,0,1,.000,0,1,.000,0,0,,0,2,2,2,1,0,1,0,0,-3,Orlando Magic,Los Angeles Lakers,2023-10-30
9,Jaxson Hayes,9:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,+5,Orlando Magic,Los Angeles Lakers,2023-10-30
10,Colin Castleton,0:0,Orlando Magic,Los Angeles Lakers,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Max Christie,0:0,Orlando Magic,Los Angeles Lakers,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,D'Moi Hodge,0:0,Orlando Magic,Los Angeles Lakers,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Maxwell Lewis,0:0,Orlando Magic,Los Angeles Lakers,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
