,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,De'Aaron Fox,37:49,.529,.400,.467,.733,2.3,11.3,6.3,19.8,1.3,0.0,9.2,22.6,121,121,2.0,Sacramento Kings,Philadelphia76ers,2024-01-12
1,Keegan Murray,35:13,.519,.536,.500,.071,5.0,18.2,10.9,17.2,1.4,4.7,12.2,18.3,108,115,4.4,Sacramento Kings,Philadelphia76ers,2024-01-12
2,Domantas Sabonis,32:45,.643,.600,.000,.200,13.3,22.8,17.6,31.6,0.0,0.0,26.9,17.8,111,119,0.8,Sacramento Kings,Philadelphia76ers,2024-01-12
3,Harrison Barnes,21:06,.340,.200,.800,.400,8.3,0.0,4.5,0.0,2.4,0.0,14.5,12.8,82,123,-8.5,Sacramento Kings,Philadelphia76ers,2024-01-12
4,Chris Duarte,9:48,.174,.000,.500,1.000,8.9,21.8,14.7,0.0,0.0,0.0,25.8,15.5,41,120,-17.4,Sacramento Kings,Philadelphia76ers,2024-01-12
6,Malik Monk,26:55,.382,.294,.412,.353,0.0,4.0,1.8,30.9,3.8,3.1,9.2,31.5,93,116,1.1,Sacramento Kings,Philadelphia76ers,2024-01-12
7,Trey Lyles,21:40,.313,.313,.625,.000,8.1,4.9,6.6,0.0,0.0,0.0,0.0,14.5,90,127,-9.4,Sacramento Kings,Philadelphia76ers,2024-01-12
8,Keon Ellis,10:02,.500,.500,.667,.000,0.0,21.3,9.6,0.0,0.0,0.0,40.0,19.5,58,120,-14.4,Sacramento Kings,Philadelphia76ers,2024-01-12
9,Colby Jones,8:48,.000,.000,.250,.000,9.9,24.2,16.4,51.1,5.8,0.0,20.0,22.3,40,105,-10.9,Sacramento Kings,Philadelphia76ers,2024-01-12
10,Sasha Vezenkov,8:32,.200,.200,.200,.000,51.1,0.0,28.1,0.0,0.0,0.0,16.7,27.6,69,129,-13.8,Sacramento Kings,Philadelphia76ers,2024-01-12
11,Alex Len,8:11,1.000,1.000,.000,.000,21.3,26.1,23.5,22.4,0.0,0.0,0.0,4.8,209,118,5.4,Sacramento Kings,Philadelphia76ers,2024-01-12
12,Kessler Edwards,5:46,.333,.333,.333,.000,15.1,0.0,8.3,0.0,0.0,0.0,0.0,20.4,93,129,-11.0,Sacramento Kings,Philadelphia76ers,2024-01-12
13,Davion Mitchell,5:46,.667,.667,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,139,129,3.9,Sacramento Kings,Philadelphia76ers,2024-01-12
14,JaVale McGee,5:00,.258,.000,.333,.667,17.5,85.3,48.0,0.0,0.0,16.6,0.0,30.4,85,83,0.4,Sacramento Kings,Philadelphia76ers,2024-01-12
15,Juan Toscano-Anderson,2:38,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,154,129,16.0,Sacramento Kings,Philadelphia76ers,2024-01-12
