,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Luka Dončić,44:22,9,25,.360,2,11,.182,8,14,.571,1,8,9,10,1,0,5,1,28,-4,Los Angeles Clippers,Dallas Mavericks,2023-12-20
1,Dante Exum,40:00,6,12,.500,1,4,.250,3,4,.750,1,5,6,1,2,0,0,2,16,-7,Los Angeles Clippers,Dallas Mavericks,2023-12-20
2,Derrick Jones Jr.,38:58,6,11,.545,2,4,.500,5,5,1.000,3,0,3,2,1,2,0,2,19,+1,Los Angeles Clippers,Dallas Mavericks,2023-12-20
3,Grant Williams,31:23,4,7,.571,1,4,.250,0,0,,5,4,9,4,0,1,0,6,9,-18,Los Angeles Clippers,Dallas Mavericks,2023-12-20
4,Dwight Powell,17:31,1,1,1.000,0,0,,1,2,.500,1,0,1,1,0,0,0,2,3,-17,Los Angeles Clippers,Dallas Mavericks,2023-12-20
6,Tim Hardaway Jr.,36:47,8,21,.381,3,11,.273,2,2,1.000,1,2,3,3,3,0,1,2,21,+1,Los Angeles Clippers,Dallas Mavericks,2023-12-20
7,Jaden Hardy,22:55,5,13,.385,5,9,.556,0,0,,0,2,2,1,1,0,0,3,15,+1,Los Angeles Clippers,Dallas Mavericks,2023-12-20
8,Markieff Morris,4:46,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-5,Los Angeles Clippers,Dallas Mavericks,2023-12-20
9,Olivier-Maxence Prosper,2:43,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3,Los Angeles Clippers,Dallas Mavericks,2023-12-20
10,A.J. Lawson,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Los Angeles Clippers,Dallas Mavericks,2023-12-20
11,Seth Curry,0:0,Los Angeles Clippers,Dallas Mavericks,2023-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Richaun Holmes,0:0,Los Angeles Clippers,Dallas Mavericks,2023-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
