,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Chet Holmgren,29:39,3,10,.300,1,5,.200,2,2,1.000,0,7,7,3,2,1,2,2,9,+30,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
1,Shai Gilgeous-Alexander,28:04,10,16,.625,1,4,.250,7,7,1.000,1,5,6,5,7,0,2,2,28,+25,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
2,Josh Giddey,24:41,7,11,.636,0,2,.000,4,5,.800,1,6,7,7,0,2,3,0,18,+20,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
3,Luguentz Dort,23:38,2,6,.333,1,3,.333,1,2,.500,1,2,3,0,1,1,0,2,6,+22,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
4,Jalen Williams,23:12,5,9,.556,1,3,.333,0,0,,0,2,2,3,0,0,3,3,11,+23,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
6,Cason Wallace,21:09,4,5,.800,1,1,1.000,0,0,,1,4,5,3,2,2,1,1,9,+8,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
7,Vasilije Micić,19:10,2,4,.500,2,3,.667,2,4,.500,0,1,1,4,1,0,2,1,8,+16,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
8,Jaylin Williams,18:21,1,7,.143,1,4,.250,0,0,,0,4,4,2,2,0,0,2,3,+6,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
9,Kenrich Williams,14:53,4,7,.571,1,3,.333,0,0,,0,0,0,2,0,0,1,3,9,+13,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
10,Isaiah Joe,13:38,3,5,.600,2,3,.667,0,0,,0,2,2,1,2,0,0,1,8,+12,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
11,Tre Mann,8:31,2,4,.500,1,3,.333,0,0,,0,2,2,2,1,0,1,0,5,+7,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
12,Lindy Waters III,5:12,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,-2,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
13,Aaron Wiggins,5:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,-2,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
14,Aleksej Pokusevski,4:40,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+2,San Antonio Spurs,Oklahoma City Thunder,2023-11-14
15,Dāvis Bertāns,0:0,San Antonio Spurs,Oklahoma City Thunder,2023-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
