,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Brandon Ingram,35:12,11,22,.500,0,2,.000,3,4,.750,0,4,4,5,0,0,2,3,25,+4,New Orleans Pelicans,Utah Jazz,2023-11-27
1,Zion Williamson,34:23,9,16,.563,1,1,1.000,7,9,.778,1,3,4,7,1,0,0,2,26,+3,New Orleans Pelicans,Utah Jazz,2023-11-27
2,Herbert Jones,31:52,4,7,.571,2,5,.400,0,0,,0,4,4,0,1,0,3,4,10,-10,New Orleans Pelicans,Utah Jazz,2023-11-27
3,Jonas Valančiūnas,29:59,5,10,.500,0,1,.000,4,6,.667,5,8,13,2,0,1,0,3,14,+3,New Orleans Pelicans,Utah Jazz,2023-11-27
4,Dyson Daniels,23:52,1,6,.167,0,4,.000,0,0,,0,3,3,4,0,0,1,4,2,-6,New Orleans Pelicans,Utah Jazz,2023-11-27
6,Naji Marshall,27:57,6,12,.500,1,3,.333,1,2,.500,2,7,9,3,3,0,1,3,14,+6,New Orleans Pelicans,Utah Jazz,2023-11-27
7,Jordan Hawkins,24:54,5,11,.455,3,6,.500,0,0,,1,4,5,0,0,0,0,1,13,-8,New Orleans Pelicans,Utah Jazz,2023-11-27
8,Jose Alvarado,13:58,2,3,.667,0,0,,0,0,,0,1,1,2,0,0,0,2,4,+3,New Orleans Pelicans,Utah Jazz,2023-11-27
9,Larry Nance Jr.,9:05,1,1,1.000,0,0,,1,2,.500,2,2,4,2,0,0,1,1,3,-5,New Orleans Pelicans,Utah Jazz,2023-11-27
10,Cody Zeller,8:45,0,0,,0,0,,1,2,.500,0,1,1,2,0,0,0,2,1,0,New Orleans Pelicans,Utah Jazz,2023-11-27
11,Kira Lewis Jr.,0:0,New Orleans Pelicans,Utah Jazz,2023-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jeremiah Robinson-Earl,0:0,New Orleans Pelicans,Utah Jazz,2023-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
