,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Paul George,34:22,2,11,.182,1,6,.167,5,5,1.000,0,7,7,3,3,0,4,2,10,-7,Los Angeles Clippers,New York Knicks,2023-11-06
1,Kawhi Leonard,31:34,8,16,.500,2,6,.333,0,0,,2,3,5,3,0,0,0,2,18,-12,Los Angeles Clippers,New York Knicks,2023-11-06
2,James Harden,31:22,6,9,.667,2,4,.500,3,3,1.000,0,3,3,6,1,0,2,2,17,-18,Los Angeles Clippers,New York Knicks,2023-11-06
3,Russell Westbrook,31:14,8,13,.615,1,3,.333,0,0,,0,4,4,4,0,0,4,2,17,-7,Los Angeles Clippers,New York Knicks,2023-11-06
4,Ivica Zubac,29:53,3,3,1.000,0,0,,2,4,.500,4,3,7,0,1,2,5,3,8,-18,Los Angeles Clippers,New York Knicks,2023-11-06
6,Norman Powell,22:21,5,7,.714,4,6,.667,0,0,,0,1,1,0,0,1,3,1,14,-6,Los Angeles Clippers,New York Knicks,2023-11-06
7,Bones Hyland,22:09,2,9,.222,1,4,.250,0,0,,0,1,1,4,1,0,3,2,5,-5,Los Angeles Clippers,New York Knicks,2023-11-06
8,P.J. Tucker,11:15,0,2,.000,0,2,.000,2,2,1.000,1,0,1,0,1,0,0,1,2,-9,Los Angeles Clippers,New York Knicks,2023-11-06
9,Mason Plumlee,10:50,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,0,2,+10,Los Angeles Clippers,New York Knicks,2023-11-06
10,Moussa Diabaté,6:08,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-2,Los Angeles Clippers,New York Knicks,2023-11-06
11,Kobe Brown,4:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2,Los Angeles Clippers,New York Knicks,2023-11-06
12,Amir Coffey,4:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,Los Angeles Clippers,New York Knicks,2023-11-06
