,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Jakob Poeltl,27:41,.788,.875,.000,.250,3.9,30.8,17.5,6.2,1.8,5.9,25.3,19.0,104,132,-0.6,Toronto Raptors,New Orleans Pelicans,2024-02-05
1,Bruce Brown,26:06,.643,.643,.429,.000,4.2,8.2,6.2,16.9,0.0,0.0,12.5,13.5,123,149,-2.8,Toronto Raptors,New Orleans Pelicans,2024-02-05
2,Scottie Barnes,25:13,.581,.500,.417,.500,8.7,12.7,10.7,25.0,0.0,6.5,6.4,27.4,125,143,6.1,Toronto Raptors,New Orleans Pelicans,2024-02-05
3,Immanuel Quickley,24:14,.383,.350,.300,.100,4.5,0.0,2.2,34.9,0.0,0.0,16.1,22.7,91,152,-9.8,Toronto Raptors,New Orleans Pelicans,2024-02-05
4,Gary Trent Jr.,14:55,.200,.200,.400,.000,0.0,7.2,3.6,0.0,0.0,0.0,0.0,14.8,44,149,-19.1,Toronto Raptors,New Orleans Pelicans,2024-02-05
6,Gradey Dick,30:10,.688,.688,.500,.000,0.0,14.1,7.2,12.4,1.6,0.0,0.0,23.4,134,142,4.8,Toronto Raptors,New Orleans Pelicans,2024-02-05
7,Jordan Nwora,23:32,.500,.500,.286,.000,4.6,9.1,6.9,30.1,2.1,0.0,30.0,18.8,91,143,-4.7,Toronto Raptors,New Orleans Pelicans,2024-02-05
8,Dennis Schröder,17:38,.000,.000,.500,.000,0.0,0.0,0.0,34.0,0.0,4.6,33.3,15.0,47,149,-15.4,Toronto Raptors,New Orleans Pelicans,2024-02-05
9,Thaddeus Young,14:31,.798,1.000,.000,2.000,7.5,7.3,7.4,0.0,0.0,0.0,0.0,5.7,168,149,-6.7,Toronto Raptors,New Orleans Pelicans,2024-02-05
10,Chris Boucher,12:00,.935,.900,.400,.400,9.1,44.4,27.0,16.7,0.0,6.8,14.5,25.3,153,130,17.4,Toronto Raptors,New Orleans Pelicans,2024-02-05
11,Jalen McDaniels,12:00,.200,.200,.400,.000,9.1,17.8,13.5,0.0,0.0,0.0,44.4,33.1,29,145,-38.5,Toronto Raptors,New Orleans Pelicans,2024-02-05
12,Garrett Temple,12:00,.512,.500,.500,.500,9.1,0.0,4.5,0.0,4.1,0.0,17.0,21.7,90,142,-10.1,Toronto Raptors,New Orleans Pelicans,2024-02-05
13,Otto Porter Jr.,0:0,Toronto Raptors,New Orleans Pelicans,2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
