,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Rudy Gobert,37:27,7,10,.700,0,0,,2,4,.500,6,9,15,1,0,1,1,3,16,+12,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
1,Anthony Edwards,34:18,16,27,.593,4,8,.500,5,5,1.000,0,4,4,2,2,1,2,1,41,+16,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
2,Mike Conley,26:15,2,7,.286,1,5,.200,2,2,1.000,1,3,4,6,2,3,2,2,7,+6,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
3,Jaden McDaniels,24:08,0,7,.000,0,3,.000,0,0,,2,0,2,0,0,1,0,0,0,-6,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
4,Karl-Anthony Towns,19:13,2,7,.286,1,3,.333,8,8,1.000,2,3,5,1,1,0,3,3,13,-5,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
6,Nickeil Alexander-Walker,25:57,6,7,.857,5,6,.833,1,1,1.000,0,3,3,2,0,1,2,2,18,+22,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
7,Naz Reid,25:06,4,8,.500,1,3,.333,1,2,.500,0,3,3,1,1,2,0,2,10,+18,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
8,Kyle Anderson,22:03,1,3,.333,0,0,,6,6,1.000,0,3,3,8,0,0,0,0,8,+29,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
9,Monte Morris,11:33,0,3,.000,0,1,.000,0,0,,0,1,1,2,1,0,0,1,0,-4,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
10,Luka Garza,3:30,1,2,.500,1,2,.500,2,2,1.000,1,0,1,0,0,0,0,2,5,-7,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
11,Josh Minott,3:30,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,2,-7,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
12,Daishen Nix,3:30,0,2,.000,0,2,.000,1,2,.500,0,0,0,1,0,0,1,0,1,-7,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
13,Jordan McLaughlin,3:30,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7,Minnesota Timberwolves,Portland Trail Blazers,2024-02-13
