,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Shai Gilgeous-Alexander,38:33,.576,.538,.231,.308,2.6,5.1,3.9,30.7,6.2,3.6,11.9,17.2,133,112,8.6,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
1,Luguentz Dort,32:32,.360,.346,.462,.154,3.1,12.0,7.6,11.6,0.0,0.0,12.6,19.3,85,124,-11.1,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
2,Chet Holmgren,30:19,.468,.400,.300,.400,9.9,25.8,18.0,12.6,1.6,18.1,14.5,17.9,108,109,0.9,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
3,Jalen Williams,29:36,.578,.553,.263,.105,6.8,9.9,8.4,27.6,1.6,0.0,4.8,27.8,134,122,6.5,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
4,Josh Giddey,16:36,.385,.385,.462,.000,12.0,5.9,8.9,8.9,0.0,0.0,13.3,35.6,85,127,-13.0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
6,Isaiah Joe,25:07,.500,.500,.833,.000,4.0,23.4,13.8,9.5,0.0,0.0,0.0,9.4,134,121,-1.4,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
7,Cason Wallace,20:17,.582,.583,.583,.167,9.9,19.3,14.6,0.0,0.0,0.0,0.0,25.0,130,121,-0.1,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
8,Jaylin Williams,14:36,1.017,1.000,.833,.333,6.8,13.4,10.2,0.0,0.0,0.0,12.7,21.3,169,124,15.8,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
9,Kenrich Williams,11:21,.625,.625,.250,.000,26.4,25.9,26.2,0.0,0.0,0.0,33.3,20.9,100,119,-4.6,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
10,Dāvis Bertāns,11:11,1.330,1.500,1.000,2.000,0.0,8.8,4.4,13.8,4.3,0.0,0.0,19.9,268,115,36.8,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
11,Aaron Wiggins,9:52,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,130,-12.1,Oklahoma City Thunder,Dallas Mavericks,2023-12-02
12,Tre Mann,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Vasilije Micić,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aleksej Pokusevski,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Olivier Sarr,0:0,Oklahoma City Thunder,Dallas Mavericks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
