,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Shai Gilgeous-Alexander,34:46,7,15,.467,1,2,.500,9,9,1.000,0,4,4,6,0,0,1,2,24,+9,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
1,Chet Holmgren,32:22,7,10,.700,3,5,.600,1,2,.500,0,10,10,3,0,2,3,3,18,+16,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
2,Luguentz Dort,29:50,7,10,.700,4,5,.800,0,0,,0,4,4,3,0,1,0,4,18,+15,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
3,Jalen Williams,28:43,7,14,.500,1,3,.333,2,4,.500,0,3,3,5,0,1,3,1,17,+7,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
4,Josh Giddey,26:51,8,16,.500,4,8,.500,0,0,,1,5,6,5,0,0,2,3,20,+4,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
6,Cason Wallace,22:31,3,7,.429,2,4,.500,2,2,1.000,1,2,3,1,0,1,0,5,10,+9,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
7,Kenrich Williams,17:45,1,4,.250,0,2,.000,0,0,,0,4,4,2,0,0,0,0,2,+7,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
8,Isaiah Joe,15:54,2,2,1.000,2,2,1.000,1,2,.500,0,1,1,0,0,0,2,1,7,+7,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
9,Vasilije Micić,12:23,1,1,1.000,0,0,,0,0,,1,2,3,4,1,0,0,4,2,+6,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
10,Aaron Wiggins,10:33,0,0,,0,0,,0,0,,1,4,5,0,0,0,2,0,0,+3,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
11,Jaylin Williams,6:30,1,3,.333,0,1,.000,1,1,1.000,1,2,3,2,0,1,0,1,3,-2,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
12,Lindy Waters III,1:52,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-1,Brooklyn Nets,Oklahoma City Thunder,2023-12-31
13,Dāvis Bertāns,0:0,Brooklyn Nets,Oklahoma City Thunder,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Tre Mann,0:0,Brooklyn Nets,Oklahoma City Thunder,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Aleksej Pokusevski,0:0,Brooklyn Nets,Oklahoma City Thunder,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
