,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Tyrese Maxey,40:50,.708,.682,.455,.136,0.0,10.2,5.6,40.9,0.0,0.0,11.4,29.4,129,118,4.0,Toronto Raptors,Philadelphia76ers,2023-12-22
1,Tobias Harris,37:58,.666,.630,.391,.174,0.0,22.0,12.0,30.7,1.3,0.0,7.5,32.1,123,111,7.1,Toronto Raptors,Philadelphia76ers,2023-12-22
2,Joel Embiid,34:59,.632,.571,.095,.381,3.6,26.8,16.3,42.7,2.8,10.2,19.7,39.8,110,100,11.6,Toronto Raptors,Philadelphia76ers,2023-12-22
3,Marcus Morris,30:50,.902,.833,.667,.667,4.1,10.2,7.4,19.0,0.0,0.0,0.0,5.7,197,118,3.1,Toronto Raptors,Philadelphia76ers,2023-12-22
4,Kelly Oubre Jr.,25:56,.444,.444,.667,.000,0.0,12.1,6.6,0.0,1.9,0.0,0.0,15.8,80,113,-9.5,Toronto Raptors,Philadelphia76ers,2023-12-22
6,Robert Covington,24:06,.000,.000,1.000,.000,0.0,13.0,7.1,9.1,2.0,3.7,0.0,1.9,92,110,-3.4,Toronto Raptors,Philadelphia76ers,2023-12-22
7,Danuel House Jr.,22:58,.798,1.000,.000,2.000,0.0,4.5,2.5,5.0,0.0,0.0,51.5,7.7,77,119,-9.5,Toronto Raptors,Philadelphia76ers,2023-12-22
8,Paul Reed,13:01,.694,.500,.500,1.000,9.7,24.0,17.6,0.0,3.7,6.8,0.0,10.1,156,101,1.0,Toronto Raptors,Philadelphia76ers,2023-12-22
9,Furkan Korkmaz,7:21,1.000,1.000,.000,.000,0.0,14.2,7.8,0.0,0.0,0.0,0.0,6.2,200,117,-2.1,Toronto Raptors,Philadelphia76ers,2023-12-22
10,KJ Martin,0:40,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-7.5,Toronto Raptors,Philadelphia76ers,2023-12-22
11,Javonte Smart,0:40,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-8.4,Toronto Raptors,Philadelphia76ers,2023-12-22
12,Jaden Springer,0:40,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-7.5,Toronto Raptors,Philadelphia76ers,2023-12-22
13,Patrick Beverley,Did Not Dress,Toronto Raptors,Philadelphia76ers,2023-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,De'Anthony Melton,Did Not Dress,Toronto Raptors,Philadelphia76ers,2023-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
