,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Keldon Johnson,33:04,4,9,.444,1,4,.250,0,2,.000,0,7,7,8,0,0,3,4,9,-21,San Antonio Spurs,New York Knicks,2023-11-08
1,Victor Wembanyama,30:11,4,14,.286,0,4,.000,6,6,1.000,4,5,9,2,0,1,3,2,14,-25,San Antonio Spurs,New York Knicks,2023-11-08
2,Jeremy Sochan,29:14,7,12,.583,2,4,.500,0,0,,0,6,6,5,0,0,0,5,16,-19,San Antonio Spurs,New York Knicks,2023-11-08
3,Zach Collins,24:30,4,6,.667,1,2,.500,2,2,1.000,2,5,7,3,0,3,2,4,11,-12,San Antonio Spurs,New York Knicks,2023-11-08
4,Malaki Branham,23:34,6,9,.667,2,2,1.000,0,0,,0,0,0,1,0,0,1,2,14,-9,San Antonio Spurs,New York Knicks,2023-11-08
6,Tre Jones,25:13,6,11,.545,0,2,.000,0,1,.000,0,1,1,5,1,1,0,0,12,-2,San Antonio Spurs,New York Knicks,2023-11-08
7,Doug McDermott,21:38,4,9,.444,3,8,.375,0,0,,1,2,3,1,0,0,3,3,11,-5,San Antonio Spurs,New York Knicks,2023-11-08
8,Charles Bassey,14:52,3,3,1.000,0,0,,0,0,,1,3,4,1,1,2,0,1,6,-4,San Antonio Spurs,New York Knicks,2023-11-08
9,Cedi Osman,13:25,1,4,.250,0,3,.000,0,0,,1,2,3,2,0,0,0,0,2,-5,San Antonio Spurs,New York Knicks,2023-11-08
10,Devin Vassell,11:55,2,6,.333,0,2,.000,0,0,,0,2,2,2,0,0,1,0,4,-3,San Antonio Spurs,New York Knicks,2023-11-08
11,Blake Wesley,3:06,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,0,0,4,0,San Antonio Spurs,New York Knicks,2023-11-08
12,Dominick Barlow,3:06,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,2,0,San Antonio Spurs,New York Knicks,2023-11-08
13,Julian Champagnie,3:06,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,0,San Antonio Spurs,New York Knicks,2023-11-08
14,Sandro Mamukelashvili,3:06,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,0,San Antonio Spurs,New York Knicks,2023-11-08
15,Devonte' Graham,0:0,San Antonio Spurs,New York Knicks,2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
