,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Zach LaVine,37:26,.698,.682,.394,.242,5.0,11.0,7.5,0.0,1.4,0.0,9.9,48.1,126,133,14.8,Chicago Bulls,Detroit Pistons,2023-10-28
1,Nikola Vučević,32:21,.524,.500,.182,.091,0.0,17.0,6.9,4.7,0.0,0.0,8.0,17.1,104,134,-10.2,Chicago Bulls,Detroit Pistons,2023-10-28
2,DeMar DeRozan,31:49,.622,.538,.077,.538,3.0,4.3,3.5,21.2,1.6,5.2,5.9,23.9,133,132,5.0,Chicago Bulls,Detroit Pistons,2023-10-28
3,Coby White,27:55,.000,.000,.500,.000,0.0,9.8,4.0,4.4,0.0,0.0,20.0,8.0,13,136,-20.2,Chicago Bulls,Detroit Pistons,2023-10-28
4,Patrick Williams,21:19,.000,.000,.333,.000,4.4,12.9,7.9,5.8,2.5,0.0,25.0,8.3,31,129,-15.7,Chicago Bulls,Detroit Pistons,2023-10-28
6,Torrey Craig,22:52,.286,.286,.286,.000,4.1,12.0,7.3,0.0,0.0,3.6,0.0,13.6,72,134,-14.7,Chicago Bulls,Detroit Pistons,2023-10-28
7,Alex Caruso,20:34,.500,.500,.000,.000,9.2,20.0,13.6,25.5,10.2,4.0,0.0,4.3,165,107,11.2,Chicago Bulls,Detroit Pistons,2023-10-28
8,Ayo Dosunmu,14:59,.357,.357,.286,.000,12.6,9.2,11.2,29.5,0.0,0.0,0.0,20.8,109,137,-2.3,Chicago Bulls,Detroit Pistons,2023-10-28
9,Andre Drummond,14:28,.167,.167,.000,.000,19.5,19.0,19.3,18.6,10.9,5.7,0.0,18.4,82,106,2.6,Chicago Bulls,Detroit Pistons,2023-10-28
10,Jevon Carter,12:44,.250,.250,.667,.000,7.4,0.0,4.4,0.0,0.0,0.0,0.0,20.9,68,140,-16.1,Chicago Bulls,Detroit Pistons,2023-10-28
11,Julian Phillips,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-10.6,Chicago Bulls,Detroit Pistons,2023-10-28
12,Terry Taylor,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,-11.2,Chicago Bulls,Detroit Pistons,2023-10-28
13,Dalen Terry,1:11,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,300,140,87.3,Chicago Bulls,Detroit Pistons,2023-10-28
