,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Rudy Gobert,37:39,8,11,.727,0,0,,3,4,.750,5,11,16,2,0,1,1,4,19,+12,Minnesota Timberwolves,Detroit Pistons,2024-01-17
1,Anthony Edwards,33:29,10,24,.417,3,8,.375,4,4,1.000,0,5,5,8,0,0,3,3,27,+5,Minnesota Timberwolves,Detroit Pistons,2024-01-17
2,Karl-Anthony Towns,30:56,10,17,.588,5,5,1.000,2,2,1.000,2,4,6,4,0,0,1,2,27,+7,Minnesota Timberwolves,Detroit Pistons,2024-01-17
3,Jaden McDaniels,30:19,8,11,.727,3,4,.750,4,4,1.000,2,1,3,0,1,0,1,0,23,+4,Minnesota Timberwolves,Detroit Pistons,2024-01-17
4,Mike Conley,29:18,3,8,.375,2,6,.333,0,1,.000,0,3,3,7,1,1,1,0,8,+20,Minnesota Timberwolves,Detroit Pistons,2024-01-17
6,Naz Reid,23:11,3,9,.333,1,4,.250,2,4,.500,0,4,4,1,3,0,1,0,9,+3,Minnesota Timberwolves,Detroit Pistons,2024-01-17
7,Nickeil Alexander-Walker,22:52,3,6,.500,1,3,.333,0,0,,0,0,0,1,1,1,0,2,7,-6,Minnesota Timberwolves,Detroit Pistons,2024-01-17
8,Kyle Anderson,21:43,2,6,.333,0,0,,0,0,,0,3,3,9,1,2,1,2,4,+3,Minnesota Timberwolves,Detroit Pistons,2024-01-17
9,Jordan McLaughlin,8:19,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,-3,Minnesota Timberwolves,Detroit Pistons,2024-01-17
10,Troy Brown Jr.,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,Minnesota Timberwolves,Detroit Pistons,2024-01-17
11,Shake Milton,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,Minnesota Timberwolves,Detroit Pistons,2024-01-17
12,Luka Garza,0:0,Minnesota Timberwolves,Detroit Pistons,2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Wendell Moore Jr.,0:0,Minnesota Timberwolves,Detroit Pistons,2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
