,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Luka Dončić,40:09,.720,.688,.583,.292,0.0,19.9,11.1,47.9,5.1,2.1,10.0,35.9,138,104,19.2,Dallas Mavericks,New York Knicks,2024-02-08
1,Kyrie Irving,36:27,.471,.471,.353,.000,0.0,13.7,7.7,23.4,0.0,0.0,10.5,25.0,98,119,-10.2,Dallas Mavericks,New York Knicks,2024-02-08
2,Josh Green,31:46,.727,.667,.556,.333,4.0,15.7,10.5,12.8,1.6,2.7,0.0,15.6,156,113,4.0,Dallas Mavericks,New York Knicks,2024-02-08
3,Derrick Jones Jr.,30:28,.893,.786,.429,1.000,4.1,13.1,9.2,13.5,0.0,0.0,0.0,15.9,192,119,6.0,Dallas Mavericks,New York Knicks,2024-02-08
4,Maxi Kleber,27:28,.347,.500,.500,1.000,4.6,10.9,8.1,12.7,1.9,12.3,25.8,6.8,101,108,1.5,Dallas Mavericks,New York Knicks,2024-02-08
6,Tim Hardaway Jr.,29:44,.679,.679,.714,.000,0.0,6.7,3.8,10.2,0.0,0.0,0.0,22.6,130,122,0.8,Dallas Mavericks,New York Knicks,2024-02-08
7,Dwight Powell,20:32,.868,1.000,.000,1.000,18.5,14.6,16.3,6.1,0.0,0.0,25.8,9.1,157,119,-6.6,Dallas Mavericks,New York Knicks,2024-02-08
8,Jaden Hardy,13:33,.400,.400,.200,.000,0.0,14.8,8.2,9.9,3.8,0.0,16.7,21.2,73,110,-10.3,Dallas Mavericks,New York Knicks,2024-02-08
9,Markieff Morris,6:01,.750,.750,1.000,.000,0.0,33.2,18.6,0.0,0.0,0.0,0.0,15.9,131,112,2.2,Dallas Mavericks,New York Knicks,2024-02-08
10,A.J. Lawson,1:17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-9.3,Dallas Mavericks,New York Knicks,2024-02-08
11,Olivier-Maxence Prosper,1:17,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-8.3,Dallas Mavericks,New York Knicks,2024-02-08
12,Brandon Williams,1:17,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,123,125,-10.0,Dallas Mavericks,New York Knicks,2024-02-08
