,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Desmond Bane,35:38,.550,.519,.462,.192,0.0,18.0,10.1,33.5,1.4,0.0,6.6,36.6,117,108,5.1,Indiana Pacers,Memphis Grizzlies,2023-12-21
1,Vince Williams Jr.,34:39,.200,.200,.600,.000,4.0,9.2,6.9,10.0,4.2,3.6,28.6,8.7,66,102,-4.3,Indiana Pacers,Memphis Grizzlies,2023-12-21
2,Ja Morant,34:26,.536,.469,.188,.375,0.0,15.5,8.7,33.5,0.0,0.0,9.7,25.9,120,112,-0.5,Indiana Pacers,Memphis Grizzlies,2023-12-21
3,Jaren Jackson Jr.,33:20,.928,.900,.400,.300,8.2,19.2,14.4,4.6,1.5,0.0,38.2,23.7,105,107,-1.8,Indiana Pacers,Memphis Grizzlies,2023-12-21
4,Bismack Biyombo,16:56,.225,.250,.000,.250,8.1,12.6,10.6,7.1,0.0,7.5,0.0,11.3,77,109,-8.8,Indiana Pacers,Memphis Grizzlies,2023-12-21
6,Santi Aldama,25:03,.929,.929,.714,.000,0.0,12.8,7.2,11.5,2.0,0.0,22.2,15.5,133,108,7.5,Indiana Pacers,Memphis Grizzlies,2023-12-21
7,John Konchar,20:51,.750,.750,1.000,.000,6.6,25.6,17.3,6.0,2.3,12.1,0.0,8.3,161,97,9.7,Indiana Pacers,Memphis Grizzlies,2023-12-21
8,Xavier Tillman Sr.,20:41,.525,.667,.000,1.333,19.9,10.3,14.5,12.1,0.0,6.1,17.4,12.0,119,111,-1.0,Indiana Pacers,Memphis Grizzlies,2023-12-21
9,Ziaire Williams,18:26,.810,.833,.444,.222,0.0,5.8,3.3,19.0,2.7,13.7,16.8,27.8,127,102,14.9,Indiana Pacers,Memphis Grizzlies,2023-12-21
10,Jacob Gilyard,0:0,Indiana Pacers,Memphis Grizzlies,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,David Roddy,0:0,Indiana Pacers,Memphis Grizzlies,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Derrick Rose,0:0,Indiana Pacers,Memphis Grizzlies,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
