,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jimmy Butler,37:04,12,23,.522,0,1,.000,9,9,1.000,2,3,5,5,0,0,1,1,33,-17,Indiana Pacers,Miami Heat,2023-12-02
1,Duncan Robinson,30:27,7,11,.636,2,3,.667,1,1,1.000,1,1,2,3,0,0,2,6,17,-9,Indiana Pacers,Miami Heat,2023-12-02
2,Orlando Robinson,29:09,7,11,.636,2,2,1.000,0,0,,1,4,5,3,0,0,1,1,16,-6,Indiana Pacers,Miami Heat,2023-12-02
3,Kyle Lowry,28:35,0,4,.000,0,3,.000,4,4,1.000,1,7,8,2,0,0,0,2,4,-9,Indiana Pacers,Miami Heat,2023-12-02
4,Haywood Highsmith,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-1,Indiana Pacers,Miami Heat,2023-12-02
6,Caleb Martin,35:15,8,15,.533,2,4,.500,0,0,,1,1,2,3,1,0,3,3,18,-8,Indiana Pacers,Miami Heat,2023-12-02
7,Jaime Jaquez Jr.,28:40,4,9,.444,1,2,.500,2,5,.400,0,3,3,3,2,0,0,1,11,-6,Indiana Pacers,Miami Heat,2023-12-02
8,Josh Richardson,23:46,6,9,.667,2,4,.500,2,2,1.000,0,2,2,3,0,1,2,1,16,-11,Indiana Pacers,Miami Heat,2023-12-02
9,Kevin Love,18:50,4,6,.667,3,5,.600,3,3,1.000,0,1,1,5,0,0,0,4,14,-9,Indiana Pacers,Miami Heat,2023-12-02
10,Jamal Cain,5:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+1,Indiana Pacers,Miami Heat,2023-12-02
11,Thomas Bryant,0:0,Indiana Pacers,Miami Heat,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nikola Jović,0:0,Indiana Pacers,Miami Heat,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
