,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Scottie Barnes,40:42,6,14,.429,1,3,.333,9,9,1.000,5,7,12,8,0,6,5,2,22,+2,Memphis Grizzlies,Toronto Raptors,2024-01-22
1,RJ Barrett,37:01,12,18,.667,0,2,.000,5,6,.833,1,8,9,1,0,1,2,3,29,-9,Memphis Grizzlies,Toronto Raptors,2024-01-22
2,Immanuel Quickley,37:01,3,13,.231,2,6,.333,0,0,,0,5,5,10,2,0,4,1,8,-9,Memphis Grizzlies,Toronto Raptors,2024-01-22
3,Gary Trent Jr.,23:36,2,6,.333,2,4,.500,0,0,,0,0,0,2,1,0,1,1,6,-2,Memphis Grizzlies,Toronto Raptors,2024-01-22
4,Jontay Porter,5:48,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-7,Memphis Grizzlies,Toronto Raptors,2024-01-22
6,Thaddeus Young,26:15,5,8,.625,0,0,,2,2,1.000,2,4,6,4,3,0,0,1,12,0,Memphis Grizzlies,Toronto Raptors,2024-01-22
7,Dennis Schröder,21:59,3,9,.333,1,3,.333,4,4,1.000,1,1,2,3,1,0,2,1,11,-15,Memphis Grizzlies,Toronto Raptors,2024-01-22
8,Bruce Brown,21:03,3,5,.600,1,2,.500,0,0,,0,3,3,2,0,0,2,3,7,-1,Memphis Grizzlies,Toronto Raptors,2024-01-22
9,Gradey Dick,14:35,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,+5,Memphis Grizzlies,Toronto Raptors,2024-01-22
10,Chris Boucher,12:00,1,3,.333,1,2,.500,2,2,1.000,2,3,5,1,0,0,0,1,5,-4,Memphis Grizzlies,Toronto Raptors,2024-01-22
11,Kira Lewis Jr.,0:0,Memphis Grizzlies,Toronto Raptors,2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jalen McDaniels,0:0,Memphis Grizzlies,Toronto Raptors,2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jordan Nwora,0:0,Memphis Grizzlies,Toronto Raptors,2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Otto Porter Jr.,0:0,Memphis Grizzlies,Toronto Raptors,2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Garrett Temple,0:0,Memphis Grizzlies,Toronto Raptors,2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
