,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Keegan Murray,37:42,9,13,.692,5,8,.625,2,2,1.000,2,6,8,1,1,0,0,0,25,+21,Cleveland Cavaliers,Sacramento Kings,2023-11-13
1,De'Aaron Fox,35:52,11,20,.550,2,6,.333,4,7,.571,1,1,2,6,1,0,1,2,28,+17,Cleveland Cavaliers,Sacramento Kings,2023-11-13
2,Domantas Sabonis,35:25,8,10,.800,1,2,.500,6,11,.545,0,9,9,10,0,2,3,4,23,+6,Cleveland Cavaliers,Sacramento Kings,2023-11-13
3,Kevin Huerter,28:41,7,11,.636,6,9,.667,0,0,,1,1,2,2,0,0,0,4,20,+5,Cleveland Cavaliers,Sacramento Kings,2023-11-13
4,Harrison Barnes,21:52,2,4,.500,0,2,.000,0,0,,2,3,5,3,0,0,1,0,4,+8,Cleveland Cavaliers,Sacramento Kings,2023-11-13
6,Malik Monk,25:38,4,8,.500,3,5,.600,2,2,1.000,1,4,5,4,1,1,2,2,13,+10,Cleveland Cavaliers,Sacramento Kings,2023-11-13
7,Sasha Vezenkov,17:12,4,6,.667,3,5,.600,0,0,,0,2,2,0,0,0,0,1,11,+7,Cleveland Cavaliers,Sacramento Kings,2023-11-13
8,Keon Ellis,12:11,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,1,2,1,2,-3,Cleveland Cavaliers,Sacramento Kings,2023-11-13
9,Chris Duarte,9:07,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,4,2,-2,Cleveland Cavaliers,Sacramento Kings,2023-11-13
10,JaVale McGee,6:58,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,1,2,+2,Cleveland Cavaliers,Sacramento Kings,2023-11-13
11,Alex Len,5:37,1,2,.500,0,0,,0,0,,0,0,0,3,0,0,0,0,2,+4,Cleveland Cavaliers,Sacramento Kings,2023-11-13
12,Kessler Edwards,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,Cleveland Cavaliers,Sacramento Kings,2023-11-13
13,Jordan Ford,1:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5,Cleveland Cavaliers,Sacramento Kings,2023-11-13
14,Colby Jones,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,Cleveland Cavaliers,Sacramento Kings,2023-11-13
15,Davion Mitchell,0:0,Cleveland Cavaliers,Sacramento Kings,2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
