,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Harrison Barnes,39:50,.757,.729,.500,.167,3.4,11.3,7.2,0.0,2.4,2.5,3.7,29.5,141,132,6.2,Sacramento Kings,Golden State Warriors,2024-01-25
1,Keegan Murray,37:59,.543,.500,.583,.167,3.6,19.7,11.3,3.0,1.3,5.2,0.0,14.9,121,132,-4.8,Sacramento Kings,Golden State Warriors,2024-01-25
2,De'Aaron Fox,35:34,.743,.656,.438,.500,0.0,4.2,2.0,18.8,1.4,2.8,4.9,25.3,153,135,3.4,Sacramento Kings,Golden State Warriors,2024-01-25
3,Domantas Sabonis,35:09,.818,.818,.182,.000,3.9,29.9,16.3,47.9,0.0,2.8,21.4,17.5,156,135,9.1,Sacramento Kings,Golden State Warriors,2024-01-25
4,Kevin Huerter,33:05,.530,.550,.800,.300,12.4,31.7,21.7,13.8,4.4,0.0,15.0,17.7,116,127,-2.1,Sacramento Kings,Golden State Warriors,2024-01-25
6,Malik Monk,19:14,.400,.400,.400,.000,7.1,7.8,7.4,17.4,0.0,0.0,37.5,18.3,80,140,-19.0,Sacramento Kings,Golden State Warriors,2024-01-25
7,Davion Mitchell,15:19,.850,.900,1.000,.400,9.0,9.8,9.4,32.5,0.0,0.0,0.0,16.8,186,140,9.9,Sacramento Kings,Golden State Warriors,2024-01-25
8,Trey Lyles,15:01,.571,.571,.571,.000,0.0,0.0,0.0,16.6,3.2,0.0,0.0,20.5,128,134,0.0,Sacramento Kings,Golden State Warriors,2024-01-25
9,Kessler Edwards,6:07,.000,.000,1.000,.000,0.0,24.5,11.7,16.3,0.0,0.0,0.0,7.2,71,138,-12.4,Sacramento Kings,Golden State Warriors,2024-01-25
10,Chris Duarte,2:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,141,-9.0,Sacramento Kings,Golden State Warriors,2024-01-25
11,Keon Ellis,0:0,Sacramento Kings,Golden State Warriors,2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Colby Jones,0:0,Sacramento Kings,Golden State Warriors,2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alex Len,0:0,Sacramento Kings,Golden State Warriors,2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,JaVale McGee,0:0,Sacramento Kings,Golden State Warriors,2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jalen Slawson,0:0,Sacramento Kings,Golden State Warriors,2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
