,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Anthony Edwards,35:44,13,19,.684,2,4,.500,3,5,.600,0,8,8,6,1,0,6,0,31,+27,Utah Jazz,Minnesota Timberwolves,2023-11-04
1,Karl-Anthony Towns,32:03,7,14,.500,2,6,.333,9,10,.900,0,7,7,1,2,0,2,4,25,+24,Utah Jazz,Minnesota Timberwolves,2023-11-04
2,Rudy Gobert,28:30,5,10,.500,0,0,,1,2,.500,4,6,10,1,0,4,1,3,11,+10,Utah Jazz,Minnesota Timberwolves,2023-11-04
3,Mike Conley,28:12,3,9,.333,1,4,.250,0,0,,0,3,3,6,1,0,0,4,7,+23,Utah Jazz,Minnesota Timberwolves,2023-11-04
4,Jaden McDaniels,20:00,2,4,.500,1,2,.500,0,0,,0,0,0,1,1,1,0,6,5,+10,Utah Jazz,Minnesota Timberwolves,2023-11-04
6,Kyle Anderson,26:57,5,6,.833,0,0,,2,2,1.000,1,2,3,6,1,2,0,3,12,+11,Utah Jazz,Minnesota Timberwolves,2023-11-04
7,Naz Reid,22:06,5,9,.556,3,5,.600,3,4,.750,2,3,5,1,0,0,1,0,16,+9,Utah Jazz,Minnesota Timberwolves,2023-11-04
8,Nickeil Alexander-Walker,17:30,0,3,.000,0,1,.000,0,1,.000,1,2,3,1,2,3,0,0,0,+1,Utah Jazz,Minnesota Timberwolves,2023-11-04
9,Shake Milton,15:11,2,4,.500,0,2,.000,4,4,1.000,1,1,2,0,1,1,0,2,8,+4,Utah Jazz,Minnesota Timberwolves,2023-11-04
10,Josh Minott,3:35,1,1,1.000,0,0,,2,3,.667,0,0,0,1,0,0,0,0,4,+5,Utah Jazz,Minnesota Timberwolves,2023-11-04
11,Troy Brown Jr.,3:35,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,+5,Utah Jazz,Minnesota Timberwolves,2023-11-04
12,Jordan McLaughlin,3:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+5,Utah Jazz,Minnesota Timberwolves,2023-11-04
13,Daishen Nix,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,+6,Utah Jazz,Minnesota Timberwolves,2023-11-04
