,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Donovan Mitchell,35:21,14,25,.560,6,13,.462,11,12,.917,2,4,6,8,2,1,2,2,45,+22,Detroit Pistons,Cleveland Cavaliers,2024-01-31
1,Max Strus,30:46,1,6,.167,0,4,.000,0,0,,0,4,4,1,1,0,2,4,2,+5,Detroit Pistons,Cleveland Cavaliers,2024-01-31
2,Jarrett Allen,30:24,7,10,.700,0,0,,0,0,,5,6,11,0,1,1,1,2,14,+19,Detroit Pistons,Cleveland Cavaliers,2024-01-31
3,Evan Mobley,22:27,3,7,.429,0,1,.000,2,2,1.000,1,2,3,4,1,0,0,2,8,-4,Detroit Pistons,Cleveland Cavaliers,2024-01-31
4,Darius Garland,20:29,7,12,.583,2,6,.333,3,3,1.000,0,0,0,3,2,0,1,1,19,-16,Detroit Pistons,Cleveland Cavaliers,2024-01-31
6,Isaac Okoro,29:47,6,8,.750,0,0,,2,2,1.000,2,1,3,0,4,0,0,1,14,+18,Detroit Pistons,Cleveland Cavaliers,2024-01-31
7,Caris LeVert,24:45,3,8,.375,1,4,.250,4,4,1.000,0,1,1,4,1,2,2,0,11,+7,Detroit Pistons,Cleveland Cavaliers,2024-01-31
8,Georges Niang,17:25,2,4,.500,0,0,,0,0,,0,2,2,5,0,0,0,0,4,0,Detroit Pistons,Cleveland Cavaliers,2024-01-31
9,Sam Merrill,16:23,4,6,.667,3,5,.600,0,0,,0,2,2,1,1,0,0,1,11,-9,Detroit Pistons,Cleveland Cavaliers,2024-01-31
10,Dean Wade,12:13,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,1,1,2,0,-7,Detroit Pistons,Cleveland Cavaliers,2024-01-31
11,Damian Jones,0:0,Detroit Pistons,Cleveland Cavaliers,2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Craig Porter Jr.,0:0,Detroit Pistons,Cleveland Cavaliers,2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Tristan Thompson,Not With Team,Detroit Pistons,Cleveland Cavaliers,2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
