,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Eric Gordon,38:22,7,8,.875,3,4,.750,2,2,1.000,0,2,2,4,1,1,1,0,19,+13,Utah Jazz,Phoenix Suns,2024-02-08
1,Bradley Beal,36:44,11,21,.524,6,9,.667,2,2,1.000,1,1,2,7,1,0,5,2,30,+7,Utah Jazz,Phoenix Suns,2024-02-08
2,Grayson Allen,35:26,2,4,.500,2,3,.667,2,2,1.000,0,3,3,14,2,1,0,4,8,+14,Utah Jazz,Phoenix Suns,2024-02-08
3,Kevin Durant,35:24,14,23,.609,2,6,.333,1,1,1.000,0,8,8,7,3,2,3,1,31,+17,Utah Jazz,Phoenix Suns,2024-02-08
4,Jusuf Nurkić,27:32,7,11,.636,0,2,.000,2,5,.400,1,7,8,3,1,0,2,5,16,+8,Utah Jazz,Phoenix Suns,2024-02-08
6,Drew Eubanks,18:10,5,8,.625,0,0,,2,4,.500,0,7,7,0,1,0,0,3,12,+10,Utah Jazz,Phoenix Suns,2024-02-08
7,Nassir Little,15:59,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,1,0,4,3,+4,Utah Jazz,Phoenix Suns,2024-02-08
8,Josh Okogie,14:29,2,4,.500,0,1,.000,0,0,,3,0,3,1,1,0,1,0,4,+2,Utah Jazz,Phoenix Suns,2024-02-08
9,Bol Bol,14:12,3,5,.600,0,2,.000,0,0,,0,1,1,0,0,2,0,3,6,-5,Utah Jazz,Phoenix Suns,2024-02-08
10,Udoka Azubuike,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Utah Jazz,Phoenix Suns,2024-02-08
11,Saben Lee,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Utah Jazz,Phoenix Suns,2024-02-08
12,Théo Maledon,1:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Utah Jazz,Phoenix Suns,2024-02-08
