,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Vince Williams Jr.,35:48,3,9,.333,3,8,.375,2,4,.500,0,5,5,4,0,2,1,4,11,+2,Orlando Magic,Memphis Grizzlies,2024-01-26
1,Jaren Jackson Jr.,35:24,13,30,.433,1,5,.200,3,4,.750,3,5,8,2,1,1,3,3,30,+5,Orlando Magic,Memphis Grizzlies,2024-01-26
2,Luke Kennard,29:53,5,11,.455,5,10,.500,0,0,,0,5,5,6,1,0,3,1,15,-8,Orlando Magic,Memphis Grizzlies,2024-01-26
3,Santi Aldama,28:56,6,9,.667,2,5,.400,0,0,,2,5,7,5,0,0,1,2,14,-2,Orlando Magic,Memphis Grizzlies,2024-01-26
4,John Konchar,26:07,3,5,.600,1,2,.500,0,0,,1,0,1,2,3,2,1,2,7,+8,Orlando Magic,Memphis Grizzlies,2024-01-26
6,Ziaire Williams,29:46,7,10,.700,3,6,.500,0,0,,0,4,4,5,2,0,3,3,17,-1,Orlando Magic,Memphis Grizzlies,2024-01-26
7,David Roddy,17:07,1,4,.250,0,1,.000,1,2,.500,3,7,10,3,0,0,1,2,3,+4,Orlando Magic,Memphis Grizzlies,2024-01-26
8,Jacob Gilyard,13:09,0,3,.000,0,3,.000,0,0,,0,1,1,2,1,0,0,0,0,-3,Orlando Magic,Memphis Grizzlies,2024-01-26
9,Xavier Tillman Sr.,12:40,2,7,.286,0,1,.000,1,2,.500,0,2,2,0,1,2,0,2,5,-4,Orlando Magic,Memphis Grizzlies,2024-01-26
10,GG Jackson II,11:10,2,2,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,0,2,5,+4,Orlando Magic,Memphis Grizzlies,2024-01-26
11,Jake LaRavia,Did Not Dress,Orlando Magic,Memphis Grizzlies,2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Derrick Rose,Did Not Dress,Orlando Magic,Memphis Grizzlies,2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
