,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Terry Rozier,39:28,.847,.824,.765,.412,3.0,3.7,3.3,56.8,0.0,0.0,13.0,27.1,154,131,15.8,Miami Heat,Charlotte Hornets,2023-12-11
1,Miles Bridges,34:05,.605,.571,.429,.143,3.4,12.8,7.6,4.7,0.0,0.0,11.8,22.9,104,129,-6.7,Miami Heat,Charlotte Hornets,2023-12-11
2,Gordon Hayward,32:11,.618,.625,.250,.333,0.0,27.1,12.1,35.3,1.6,0.0,0.0,19.8,138,122,4.2,Miami Heat,Charlotte Hornets,2023-12-11
3,Brandon Miller,30:10,.554,.536,.571,.071,0.0,19.3,8.6,10.4,0.0,0.0,12.2,25.2,94,127,-8.2,Miami Heat,Charlotte Hornets,2023-12-11
4,Nick Richards,26:16,.436,.333,.000,.333,13.4,16.6,14.8,5.0,0.0,0.0,0.0,12.1,120,128,-7.6,Miami Heat,Charlotte Hornets,2023-12-11
6,P.J. Washington,31:49,.588,.545,.545,.364,3.7,32.0,16.3,13.9,0.0,3.6,0.0,18.6,128,122,1.0,Miami Heat,Charlotte Hornets,2023-12-11
7,Bryce McGowens,22:31,.307,.250,.500,.500,0.0,6.5,2.9,5.6,0.0,0.0,17.0,12.1,62,130,-14.8,Miami Heat,Charlotte Hornets,2023-12-11
8,Ish Smith,14:41,.625,.625,.250,.000,0.0,0.0,0.0,29.3,3.5,0.0,33.3,18.9,95,123,-1.2,Miami Heat,Charlotte Hornets,2023-12-11
9,JT Thor,8:49,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,5.8,13.0,0.0,10.5,0,110,-7.2,Miami Heat,Charlotte Hornets,2023-12-11
10,Leaky Black,0:0,Miami Heat,Charlotte Hornets,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,James Bouknight,0:0,Miami Heat,Charlotte Hornets,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Théo Maledon,0:0,Miami Heat,Charlotte Hornets,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
