,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Harrison Barnes,33:26,11,16,.688,5,7,.714,6,6,1.000,0,4,4,2,1,0,1,2,33,+10,Sacramento Kings,Utah Jazz,2023-10-25
1,De'Aaron Fox,32:57,6,18,.333,1,7,.143,5,6,.833,2,3,5,6,1,1,3,4,18,+14,Sacramento Kings,Utah Jazz,2023-10-25
2,Domantas Sabonis,32:08,8,14,.571,1,2,.500,5,7,.714,6,6,12,5,1,2,3,3,22,+5,Sacramento Kings,Utah Jazz,2023-10-25
3,Keegan Murray,29:41,5,13,.385,4,9,.444,1,1,1.000,2,6,8,1,1,2,0,4,15,+12,Sacramento Kings,Utah Jazz,2023-10-25
4,Kevin Huerter,23:34,3,9,.333,1,5,.200,0,0,,2,3,5,2,0,0,1,3,7,+6,Sacramento Kings,Utah Jazz,2023-10-25
6,Malik Monk,23:08,4,12,.333,2,9,.222,0,0,,1,1,2,7,0,2,2,2,10,+12,Sacramento Kings,Utah Jazz,2023-10-25
7,Sasha Vezenkov,15:37,3,6,.500,2,5,.400,0,0,,1,1,2,0,2,0,0,1,8,+9,Sacramento Kings,Utah Jazz,2023-10-25
8,Chris Duarte,14:44,3,5,.600,3,4,.750,0,0,,1,1,2,1,0,0,0,3,9,+5,Sacramento Kings,Utah Jazz,2023-10-25
9,Davion Mitchell,13:49,0,3,.000,0,2,.000,0,0,,0,3,3,4,0,0,1,3,0,+4,Sacramento Kings,Utah Jazz,2023-10-25
10,JaVale McGee,13:27,4,4,1.000,0,0,,0,0,,0,1,1,1,0,1,0,0,8,+13,Sacramento Kings,Utah Jazz,2023-10-25
11,Alex Len,2:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,Sacramento Kings,Utah Jazz,2023-10-25
12,Kessler Edwards,1:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,Sacramento Kings,Utah Jazz,2023-10-25
13,Keon Ellis,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,Sacramento Kings,Utah Jazz,2023-10-25
14,Jordan Ford,1:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,Sacramento Kings,Utah Jazz,2023-10-25
15,Colby Jones,1:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,Sacramento Kings,Utah Jazz,2023-10-25
