,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Paul George,36:02,.485,.435,.522,.174,3.0,19.0,11.3,14.1,2.6,0.0,7.5,31.3,98,100,0.1,Los Angeles Clippers,San Antonio Spurs,2023-11-22
1,James Harden,35:47,.651,.571,.571,1.714,0.0,16.4,8.6,34.5,1.3,2.5,24.6,19.2,115,102,3.0,Los Angeles Clippers,San Antonio Spurs,2023-11-22
2,Kawhi Leonard,35:47,.693,.647,.353,.235,0.0,11.0,5.7,21.0,2.7,0.0,5.1,23.3,136,103,8.7,Los Angeles Clippers,San Antonio Spurs,2023-11-22
3,Ivica Zubac,25:54,.761,.714,.000,.286,8.2,22.7,15.8,6.2,0.0,0.0,0.0,12.8,162,105,3.1,Los Angeles Clippers,San Antonio Spurs,2023-11-22
4,Terance Mann,22:33,.444,.400,.600,.800,0.0,8.7,4.5,6.1,4.2,4.0,12.9,14.5,85,97,-2.4,Los Angeles Clippers,San Antonio Spurs,2023-11-22
6,Russell Westbrook,27:01,.450,.375,.125,.250,3.9,18.1,11.3,36.9,3.5,0.0,31.1,20.1,88,98,-2.1,Los Angeles Clippers,San Antonio Spurs,2023-11-22
7,Daniel Theis,20:21,.364,.364,.000,.000,26.2,28.9,27.6,31.9,0.0,0.0,8.3,24.9,102,103,-1.6,Los Angeles Clippers,San Antonio Spurs,2023-11-22
8,Norman Powell,13:39,.563,.625,.250,.250,0.0,7.2,3.7,0.0,0.0,6.6,31.1,19.9,64,106,-7.5,Los Angeles Clippers,San Antonio Spurs,2023-11-22
9,P.J. Tucker,12:45,,,,,8.4,0.0,4.0,0.0,0.0,0.0,100.0,3.3,52,112,-10.6,Los Angeles Clippers,San Antonio Spurs,2023-11-22
10,Amir Coffey,10:10,.667,.667,.333,.000,10.5,19.3,15.1,0.0,4.7,0.0,0.0,12.5,139,95,6.5,Los Angeles Clippers,San Antonio Spurs,2023-11-22
11,Kobe Brown,0:0,Los Angeles Clippers,San Antonio Spurs,2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Moussa Diabaté,0:0,Los Angeles Clippers,San Antonio Spurs,2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bones Hyland,0:0,Los Angeles Clippers,San Antonio Spurs,2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
