,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Devin Vassell,34:08,7,20,.350,2,6,.333,1,1,1.000,1,5,6,4,0,1,2,0,17,-18,San Antonio Spurs,Brooklyn Nets,2024-02-10
1,Jeremy Sochan,29:12,4,9,.444,0,2,.000,0,0,,1,4,5,3,1,0,0,0,8,-4,San Antonio Spurs,Brooklyn Nets,2024-02-10
2,Victor Wembanyama,29:02,7,16,.438,3,6,.500,4,4,1.000,0,4,4,3,0,1,4,2,21,-20,San Antonio Spurs,Brooklyn Nets,2024-02-10
3,Tre Jones,27:58,2,3,.667,0,1,.000,2,2,1.000,1,1,2,2,2,0,2,0,6,-22,San Antonio Spurs,Brooklyn Nets,2024-02-10
4,Julian Champagnie,19:38,1,5,.200,0,3,.000,0,0,,1,2,3,1,0,0,0,2,2,-9,San Antonio Spurs,Brooklyn Nets,2024-02-10
6,Keldon Johnson,29:44,7,14,.500,3,6,.500,2,2,1.000,1,3,4,1,0,1,2,2,19,-17,San Antonio Spurs,Brooklyn Nets,2024-02-10
7,Malaki Branham,19:22,2,8,.250,1,5,.200,0,0,,2,0,2,2,0,0,1,0,5,0,San Antonio Spurs,Brooklyn Nets,2024-02-10
8,Blake Wesley,16:18,2,3,.667,0,1,.000,2,2,1.000,0,0,0,3,2,0,0,2,6,-6,San Antonio Spurs,Brooklyn Nets,2024-02-10
9,Cedi Osman,12:17,2,5,.400,2,3,.667,2,2,1.000,1,4,5,0,0,0,1,0,8,-6,San Antonio Spurs,Brooklyn Nets,2024-02-10
10,Dominick Barlow,12:00,1,5,.200,0,0,,5,6,.833,7,2,9,0,0,0,0,0,7,-1,San Antonio Spurs,Brooklyn Nets,2024-02-10
11,Zach Collins,6:41,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,2,3,2,-1,San Antonio Spurs,Brooklyn Nets,2024-02-10
12,Sandro Mamukelashvili,3:40,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4,San Antonio Spurs,Brooklyn Nets,2024-02-10
13,Devonte' Graham,0:0,San Antonio Spurs,Brooklyn Nets,2024-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
