,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Malik Beasley,39:22,.727,.727,.636,.000,3.7,7.2,5.8,8.0,1.2,0.0,15.4,14.3,128,123,0.3,Atlanta Hawks,Milwaukee Bucks,2023-12-02
1,Damian Lillard,38:25,.741,.719,.375,.125,3.8,12.2,8.9,27.8,1.2,0.0,19.2,23.6,133,120,2.3,Atlanta Hawks,Milwaukee Bucks,2023-12-02
2,Giannis Antetokounmpo,36:19,.721,.700,.050,.250,8.0,23.3,17.3,38.3,2.6,2.1,18.4,32.5,133,112,11.3,Atlanta Hawks,Milwaukee Bucks,2023-12-02
3,Brook Lopez,33:24,.571,.500,.571,.857,4.4,2.8,3.4,11.8,0.0,9.1,17.2,15.1,117,121,-0.1,Atlanta Hawks,Milwaukee Bucks,2023-12-02
4,Khris Middleton,24:45,.667,.667,.444,.000,0.0,19.0,11.5,13.4,1.9,0.0,10.0,17.5,128,117,1.3,Atlanta Hawks,Milwaukee Bucks,2023-12-02
6,Bobby Portis,22:41,.577,.577,.308,.000,12.8,37.3,27.7,0.0,0.0,0.0,0.0,24.9,123,113,-5.3,Atlanta Hawks,Milwaukee Bucks,2023-12-02
7,Cameron Payne,19:41,.758,.727,.545,.182,0.0,14.3,8.7,13.6,0.0,0.0,7.8,28.4,141,122,-0.6,Atlanta Hawks,Milwaukee Bucks,2023-12-02
8,MarJon Beauchamp,16:45,.750,.750,.500,.000,0.0,5.6,3.4,11.4,0.0,4.5,0.0,5.2,172,123,1.1,Atlanta Hawks,Milwaukee Bucks,2023-12-02
9,A.J. Green,8:38,,,,,16.8,0.0,6.6,0.0,0.0,0.0,,0.0,225,128,-6.9,Atlanta Hawks,Milwaukee Bucks,2023-12-02
10,Thanasis Antetokounmpo,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Marques Bolden,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Chris Livingston,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Robin Lopez,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,TyTy Washington Jr.,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Lindell Wigginton,0:0,Atlanta Hawks,Milwaukee Bucks,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
