,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Chet Holmgren,30:08,.594,.615,.308,.231,15.2,18.5,16.9,14.9,1.6,8.8,17.3,23.4,120,110,-0.2,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
1,Shai Gilgeous-Alexander,29:28,.789,.667,.133,.800,7.8,15.2,11.5,41.4,3.2,3.0,16.5,33.5,155,110,15.6,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
2,Jalen Williams,29:17,.542,.542,.417,.000,0.0,19.1,9.6,26.0,3.3,0.0,0.0,16.7,146,111,0.7,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
3,Luguentz Dort,25:22,.167,.167,.833,.000,4.5,8.8,6.7,3.6,3.8,3.5,14.3,11.2,59,111,-11.1,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
4,Josh Giddey,22:05,.462,.462,.231,.000,25.9,15.2,20.5,21.2,0.0,0.0,13.3,27.6,117,119,-8.1,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
6,Cason Wallace,22:36,.874,.857,.429,.143,5.1,9.9,7.5,19.6,2.1,0.0,0.0,13.4,194,116,7.5,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
7,Aaron Wiggins,18:32,1.000,1.000,.545,.000,0.0,18.1,9.1,8.4,0.0,4.8,0.0,24.1,195,116,19.7,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
8,Vasilije Micić,13:47,.500,.500,.500,.000,0.0,8.1,4.1,20.7,3.5,0.0,60.0,14.8,70,114,-10.2,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
9,Isaiah Joe,12:49,.900,.900,1.000,.000,8.9,0.0,4.4,0.0,0.0,6.9,0.0,15.9,183,119,10.4,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
10,Jaylin Williams,11:05,1.000,1.000,.667,.000,10.3,30.2,20.4,0.0,0.0,0.0,25.0,14.7,135,115,-0.4,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
11,Kenrich Williams,10:19,.875,.875,.500,.000,11.1,21.6,16.4,0.0,4.6,8.6,0.0,15.8,180,102,13.3,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
12,Dāvis Bertāns,5:02,1.500,1.500,1.000,.000,0.0,0.0,0.0,21.4,9.5,0.0,0.0,8.1,275,103,27.7,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
13,Keyontae Johnson,4:45,.000,.000,.000,.000,0.0,0.0,0.0,18.7,0.0,0.0,33.3,25.7,29,123,-31.0,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
14,Aleksej Pokusevski,4:45,.500,.500,.500,.000,0.0,23.5,11.9,0.0,0.0,0.0,0.0,17.1,110,117,-10.4,Oklahoma City Thunder,San Antonio Spurs,2024-01-24
