Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Nikola Jokić,28,56,1896,0.583,9.8,,0.83,0.257,0.395,0.12,0.058,0.17,,0.63,0.744,0.613,0.563,0.386,0.351,,0.567,0.763,,0.011,10,,0.036,0.167,,3,0
2,Michael Porter Jr.,25,57,1806,0.473,17.7,,0.476,0.168,0.102,0.074,0.132,0.524,,0.564,0.738,0.403,0.464,0.525,0.391,,0.738,0.955,,0.045,29,,0.203,0.475,,1,0
3,Kentavious Caldwell-Pope,30,53,1679,0.438,16.6,,0.516,0.184,0.099,0.092,0.14,0.484,,0.498,0.526,0.463,0.474,0.5,0.375,,0.811,0.973,,0.01,4,,0.365,0.411,,0,0
4,Aaron Gordon,28,52,1637,0.551,7.4,,0.81,0.538,0.2,0.052,0.019,0.19,,0.612,0.758,0.35,0.185,0.4,0.296,,0.635,0.793,,0.258,122,,0.367,0.389,,1,0
5,Reggie Jackson,33,58,1332,0.453,14.7,,0.631,0.19,0.23,0.095,0.115,0.369,,0.507,0.663,0.484,0.423,0.365,0.361,,0.389,0.767,,0.013,5,,0.218,0.432,,4,0
6,Jamal Murray,26,42,1325,0.472,15.7,,0.647,0.148,0.169,0.169,0.161,0.353,,0.506,0.647,0.47,0.453,0.468,0.41,,0.35,0.58,,0.014,10,,0.098,0.25,,2,0
7,Christian Braun,22,58,1109,0.439,11.2,,0.684,0.316,0.307,0.03,0.03,0.316,,0.476,0.679,0.32,0.1,0.3,0.358,,0.697,0.974,,0.06,18,,0.283,0.3,,1,0
8,Peyton Watson,21,56,1021,0.474,12.3,,0.623,0.334,0.211,0.058,0.019,0.377,,0.552,0.65,0.446,0.444,0.333,0.345,,0.821,0.975,,0.146,40,,0.422,0.347,,3,0
9,Justin Holiday,34,35,498,0.444,20.3,,0.296,0.111,0.028,0.028,0.13,0.704,,0.563,0.75,0.333,0.667,0.429,0.395,,0.722,1.0,,0.074,8,,0.539,0.463,,0,0
10,Julian Strawther,21,38,493,0.379,18.8,,0.374,0.116,0.146,0.091,0.02,0.626,,0.5,0.652,0.483,0.389,0.25,0.306,,0.622,0.947,,0.01,2,,0.113,0.429,,0,0
11,Zeke Nnaji,23,43,422,0.462,6.2,,0.84,0.58,0.218,0.034,0.008,0.16,,0.5,0.58,0.346,0.25,0.0,0.263,,0.58,1.0,,0.168,18,,0.368,0.286,,0,0
12,DeAndre Jordan,35,29,327,0.632,2.0,,1.0,0.816,0.171,0.013,0.0,0.0,,0.632,0.677,0.462,0.0,,,,0.729,,,0.421,31,,,,,0,0
13,Collin Gillespie,24,19,161,0.511,17.4,,0.467,0.2,0.111,0.044,0.111,0.533,,0.571,0.556,0.6,1.0,0.4,0.458,,0.417,0.909,,0.0,0,,0.125,0.333,,0,0
14,Jalen Pickett,24,19,103,0.414,22.5,,0.276,0.034,0.069,0.069,0.103,0.724,,0.625,1.0,0.5,0.5,0.667,0.333,,0.4,0.714,,0.0,0,,0.0,,,1,0
15,Braxton Key,26,17,55,0.375,9.3,,0.75,0.438,0.25,0.0,0.063,0.25,,0.417,0.429,0.25,,1.0,0.25,,1.0,1.0,,0.0,0,,0.25,0.0,,0,0
16,Jay Huff,25,11,30,0.5,19.6,,0.3,0.1,0.2,0.0,0.0,0.7,,1.0,1.0,1.0,,,0.286,,1.0,1.0,,0.0,0,,0.0,,,0,0
17,Hunter Tyson,23,9,27,0.143,22.0,,0.143,0.143,0.0,0.0,0.0,0.857,,1.0,1.0,,,,0.0,,1.0,,,0.143,1,,0.0,,,0,0
