Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Nikola Jokić,28,56,1896,,,,,100%,10.0,18.5,96,47,72,17,127,5,1209,40,43
2,Michael Porter Jr.,25,57,1806,,,70%,30%,,7.7,10.1,25,20,61,6,36,1,189,13,25
3,Kentavious Caldwell-Pope,30,53,1679,5%,87%,8%,,,11.6,18.8,36,11,57,2,30,17,288,5,12
4,Aaron Gordon,28,52,1637,,,,91%,9%,8.5,10.7,30,22,62,15,96,6,397,29,39
5,Reggie Jackson,33,58,1332,100%,,,,,0.7,-6.6,45,14,51,12,27,9,537,8,21
6,Jamal Murray,26,42,1325,79%,21%,,,,7.3,6.0,59,23,56,3,42,4,613,8,39
7,Christian Braun,22,58,1109,2%,47%,50%,2%,,-2.8,-11.5,14,12,51,8,53,3,193,12,37
8,Peyton Watson,21,56,1021,,2%,41%,58%,,-0.5,-7.2,16,11,65,8,41,1,136,6,22
9,Justin Holiday,34,35,498,9%,87%,4%,,,0.5,-4.4,7,1,30,0,2,1,78,0,0
10,Julian Strawther,21,38,493,,14%,77%,10%,,-10.7,-18.1,2,6,23,6,7,2,94,2,9
11,Zeke Nnaji,23,43,422,,,,12%,89%,-15.7,-23.3,6,5,34,13,20,0,63,5,18
12,DeAndre Jordan,35,29,327,,,,,100%,-8.8,-14.6,5,3,27,10,21,1,44,5,9
13,Collin Gillespie,24,19,161,100%,,,,,0.5,-3.9,5,0,7,2,5,0,36,2,3
14,Jalen Pickett,24,19,103,87%,14%,,,,-6.3,-10.8,2,1,6,0,1,1,32,0,1
15,Braxton Key,26,17,55,,,27%,71%,2%,-4.4,-8.7,1,0,3,0,4,0,19,2,2
16,Jay Huff,25,11,30,,,,,100%,-19.6,-24.0,0,0,4,1,1,0,2,0,0
17,Hunter Tyson,23,9,27,,,20%,52%,28%,1.7,-2.5,0,1,3,1,0,0,3,0,0
