Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Nikola Jokić,28,56,56,1896,10.9,18.8,0.583,1.1,3.2,0.351,9.8,15.6,0.63,4.8,5.9,0.814,3.1,9.9,13.0,9.9,1.3,1.0,3.1,2.7,27.8
2,Michael Porter Jr.,25,57,57,1806,7.1,15.0,0.473,3.1,7.9,0.391,4.0,7.1,0.564,1.2,1.5,0.811,1.6,6.4,8.0,1.6,0.5,0.8,1.2,2.2,18.5
3,Kentavious Caldwell-Pope,30,53,53,1679,3.9,8.9,0.438,1.6,4.3,0.375,2.3,4.6,0.498,1.9,2.0,0.916,0.5,2.2,2.7,2.7,1.5,0.5,1.1,2.1,11.2
4,Aaron Gordon,28,52,52,1637,6.2,11.3,0.551,0.6,2.2,0.296,5.6,9.2,0.612,2.7,4.2,0.639,2.7,4.7,7.4,3.6,0.9,0.8,1.7,2.2,15.8
5,Reggie Jackson,33,58,16,1332,6.7,14.8,0.453,2.0,5.5,0.361,4.7,9.3,0.507,1.4,1.8,0.776,0.6,2.6,3.2,6.2,0.9,0.2,2.1,2.9,16.8
6,Jamal Murray,26,42,42,1325,8.9,18.8,0.472,2.7,6.6,0.41,6.1,12.1,0.506,3.1,3.6,0.856,0.8,3.7,4.5,7.3,1.0,0.8,2.3,2.2,23.5
7,Christian Braun,22,58,0,1109,4.8,10.9,0.439,1.2,3.4,0.358,3.5,7.4,0.476,2.4,3.3,0.716,1.7,5.0,6.7,2.6,0.8,0.7,1.3,2.9,13.1
8,Peyton Watson,21,56,4,1021,5.1,10.9,0.474,1.4,4.1,0.345,3.7,6.8,0.552,1.9,2.8,0.684,1.3,4.5,5.8,2.0,1.1,1.9,1.5,3.5,13.6
9,Justin Holiday,34,35,9,498,3.5,7.8,0.444,2.2,5.5,0.395,1.3,2.3,0.563,0.2,0.3,0.75,0.4,2.6,3.0,2.5,1.6,0.2,0.6,3.3,9.3
10,Julian Strawther,21,38,0,493,5.5,14.5,0.379,2.8,9.1,0.306,2.7,5.4,0.5,1.3,1.8,0.72,0.3,3.5,3.8,2.9,1.2,0.5,1.2,3.5,15.0
11,Zeke Nnaji,23,43,0,422,4.7,10.2,0.462,0.4,1.6,0.263,4.3,8.5,0.5,3.1,4.4,0.706,4.4,3.8,8.1,2.2,0.9,2.3,2.1,5.4,12.9
12,DeAndre Jordan,35,29,1,327,5.3,8.4,0.632,0.0,0.0,,5.3,8.4,0.632,2.4,5.4,0.449,5.3,9.2,14.5,2.2,0.6,1.4,2.1,5.3,13.0
13,Collin Gillespie,24,19,0,161,5.1,10.1,0.511,2.5,5.4,0.458,2.7,4.7,0.571,1.1,1.8,0.625,0.2,2.5,2.7,3.6,2.2,0.0,2.2,4.0,13.9
14,Jalen Pickett,24,19,0,103,4.2,10.1,0.414,2.4,7.3,0.333,1.7,2.8,0.625,1.0,1.4,0.75,0.3,3.5,3.8,4.5,1.0,0.0,2.1,3.1,11.9
15,Braxton Key,26,17,0,55,3.9,10.5,0.375,0.7,2.6,0.25,3.3,7.9,0.417,2.6,3.9,0.667,2.0,7.2,9.2,5.2,1.3,0.7,0.7,3.3,11.1
16,Jay Huff,25,11,0,30,6.0,12.0,0.5,2.4,8.4,0.286,3.6,3.6,1.0,2.4,2.4,1.0,1.2,7.2,8.4,1.2,1.2,0.0,1.2,8.4,16.8
17,Hunter Tyson,23,9,0,27,1.3,9.3,0.143,0.0,8.0,0.0,1.3,1.3,1.0,0.0,0.0,,0.0,8.0,8.0,1.3,0.0,0.0,2.7,8.0,2.7
