Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Domantas Sabonis,27,56,1997,0.619,5.9,,0.916,0.488,0.339,0.066,0.023,0.084,,0.638,0.728,0.556,0.49,0.353,0.419,,0.594,0.962,,0.11,73,,0.065,0.25,,0,0
2,De'Aaron Fox,26,50,1779,0.47,14.7,,0.627,0.152,0.248,0.162,0.066,0.373,,0.528,0.675,0.547,0.455,0.294,0.371,,0.164,0.615,,0.016,14,,0.125,0.479,,1,0
3,Keegan Murray,23,52,1697,0.46,16.9,,0.493,0.151,0.157,0.113,0.071,0.507,,0.569,0.729,0.59,0.472,0.333,0.354,,0.758,0.965,,0.085,49,,0.255,0.305,,0,0
4,Harrison Barnes,31,56,1665,0.487,16.4,,0.448,0.174,0.202,0.051,0.02,0.552,,0.594,0.659,0.576,0.48,0.5,0.4,,0.608,0.972,,0.033,14,,0.437,0.432,,0,0
5,Malik Monk,25,55,1425,0.449,16.4,,0.495,0.185,0.18,0.086,0.045,0.505,,0.528,0.625,0.436,0.5,0.552,0.372,,0.459,0.795,,0.042,25,,0.14,0.435,,0,0
6,Kevin Huerter,25,54,1354,0.458,18.2,,0.385,0.155,0.143,0.071,0.016,0.615,,0.587,0.711,0.586,0.4,0.25,0.377,,0.802,0.947,,0.02,8,,0.182,0.436,,0,0
7,Trey Lyles,28,41,807,0.455,19.6,,0.272,0.179,0.063,0.013,0.018,0.728,,0.607,0.775,0.286,0.667,0.0,0.399,,0.703,1.0,,0.022,4,,0.387,0.429,,2,0
8,Davion Mitchell,25,46,608,0.402,16.0,,0.482,0.165,0.207,0.073,0.037,0.518,,0.494,0.667,0.382,0.333,0.667,0.318,,0.436,0.963,,0.0,0,,0.247,0.429,,0,0
9,Chris Duarte,26,39,508,0.37,17.6,,0.43,0.178,0.111,0.074,0.067,0.57,,0.414,0.667,0.333,0.3,0.0,0.338,,0.75,0.885,,0.037,4,,0.364,0.393,,0,0
10,Sasha Vezenkov,28,35,440,0.448,17.3,,0.394,0.212,0.145,0.024,0.012,0.606,,0.554,0.771,0.333,0.0,0.5,0.38,,0.778,0.974,,0.006,1,,0.28,0.429,,1,0
11,Keon Ellis,24,33,379,0.422,22.4,,0.189,0.089,0.056,0.022,0.022,0.811,,0.647,0.625,0.6,1.0,0.5,0.37,,0.636,0.926,,0.022,2,,0.274,0.25,,1,0
12,JaVale McGee,36,39,310,0.629,4.5,,0.966,0.5,0.422,0.034,0.009,0.034,,0.652,0.793,0.551,0.0,0.0,0.0,,0.795,,,0.31,33,,0.0,,,0,0
13,Alex Len,30,23,197,0.61,5.1,,0.927,0.537,0.341,0.024,0.024,0.073,,0.658,0.818,0.429,0.0,1.0,0.0,,0.6,,,0.317,9,,0.333,0.0,,0,0
14,Kessler Edwards,23,38,179,0.412,18.5,,0.353,0.196,0.078,0.0,0.078,0.647,,0.5,0.7,0.25,,0.25,0.364,,0.556,1.0,,0.059,2,,0.455,0.467,,0,0
15,Colby Jones,21,17,121,0.37,11.5,,0.717,0.196,0.326,0.196,0.0,0.283,,0.485,0.333,0.533,0.556,,0.077,,0.563,1.0,,0.0,0,,0.385,0.0,,0,0
16,Juan Toscano-Anderson,30,11,53,0.25,9.7,,0.667,0.417,0.25,0.0,0.0,0.333,,0.25,0.4,0.0,,,0.25,,1.0,1.0,,0.083,1,,0.75,0.333,,0,0
17,Jordan Ford,25,6,22,0.571,18.2,,0.571,0.143,0.0,0.286,0.143,0.429,,0.5,1.0,,0.5,0.0,0.667,,0.0,0.5,,0.0,0,,0.333,1.0,,0,0
18,Jalen Slawson,24,5,19,0.667,9.8,,0.667,0.667,0.0,0.0,0.0,0.333,,1.0,1.0,,,,0.0,,1.0,,,0.0,0,,0.0,,,0,0
19,Filip Petrušev,23,2,7,0.5,12.4,,1.0,0.0,0.0,1.0,0.0,0.0,,0.5,,,0.5,,,,1.0,,,0.0,0,,,,,0,0
