No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
10.0,Domantas Sabonis,C,6-10,240,"May 3, 1996",us,7,Gonzaga
40.0,Harrison Barnes,PF,6-8,225,"May 30, 1992",us,11,UNC
0.0,Malik Monk,SG,6-3,200,"February 4, 1998",us,6,Kentucky
9.0,Kevin Huerter,SG,6-7,190,"August 27, 1998",us,5,Maryland
13.0,Keegan Murray,SF,6-8,215,"August 19, 2000",us,1,Iowa
5.0,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us,6,Kentucky
15.0,Davion Mitchell,PG,6-2,205,"September 5, 1998",us,2,"Auburn, Baylor"
41.0,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,8,Kentucky
0.0,JaVale McGee,C,7-0,270,"January 19, 1988",us,15,Nevada
3.0,Chris Duarte,SF,6-6,190,"June 13, 1997",do,2,Oregon
17.0,Kessler Edwards,SF,6-8,215,"August 9, 2000",us,2,Pepperdine
7.0,Sasha Vezenkov,PF,6-9,225,"August 6, 1995",cy,R,
23.0,Keon Ellis,SG,6-6,175,"January 8, 2000",us,1,"Florida SouthWestern State College, Alabama"
25.0,Alex Len,C,7-0,250,"June 16, 1993",ua,10,Maryland
20.0,Colby Jones,SG,6-6,205,"May 28, 2002",us,R,Xavier
31.0,Jordan Ford (TW),PG,6-1,175,"May 26, 1998",us,R,Saint Mary's
18.0,Jalen Slawson (TW),SF,6-7,215,"October 22, 1999",us,R,Furman University
,Mason Jones (TW),SG,6-4,200,"July 21, 1998",us,2,"Connors State College, Arkansas"
