Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Domantas Sabonis,27,56,1997,,,,,100%,0.6,0.2,60,65,84,34,140,4,1189,45,60
2,De'Aaron Fox,26,50,1779,100%,,,,,1.8,3.9,73,43,60,7,142,18,688,36,51
3,Keegan Murray,23,52,1697,,2%,86%,12%,,2.0,3.9,21,14,73,6,41,10,212,8,30
4,Harrison Barnes,31,56,1665,,,12%,87%,1%,-2.0,-6.7,18,13,42,4,53,10,154,13,16
5,Malik Monk,25,55,1425,19%,78%,3%,,,-1.7,-4.7,82,26,59,3,56,10,677,10,44
6,Kevin Huerter,25,54,1354,,72%,27%,1%,,2.1,3.1,26,8,55,4,18,4,337,3,15
7,Trey Lyles,28,41,807,,,,80%,19%,6.2,8.1,15,5,35,5,24,8,118,7,8
8,Davion Mitchell,25,46,608,87%,13%,,,,-6.9,-9.5,12,8,27,0,11,11,192,3,6
9,Chris Duarte,26,39,508,,38%,61%,1%,,-2.1,-3.2,10,3,30,2,12,14,77,2,8
10,Sasha Vezenkov,28,35,440,,,26%,68%,7%,0.9,0.5,4,3,15,2,6,1,39,1,9
11,Keon Ellis,24,33,379,30%,57%,13%,,,2.0,1.7,9,5,28,1,5,1,96,0,3
12,JaVale McGee,36,39,310,,,,,100%,-4.2,-5.3,12,6,17,10,24,1,33,7,5
13,Alex Len,30,23,197,,,,,100%,17.9,18.7,2,5,16,6,9,0,56,3,6
14,Kessler Edwards,23,38,179,,,55%,42%,3%,-4.4,-5.3,0,0,12,0,2,4,23,0,3
15,Colby Jones,21,17,121,1%,78%,21%,,,-0.8,-1.4,3,1,10,0,3,1,22,1,3
16,Juan Toscano-Anderson,30,11,53,,17%,68%,15%,,-1.4,-2.0,2,0,7,0,0,0,10,0,2
17,Jordan Ford,25,6,22,100%,,,,,28.1,27.8,1,0,0,0,0,0,6,0,0
18,Jalen Slawson,24,5,19,,,77%,23%,,-35.4,-36.1,1,0,1,1,0,0,5,0,0
19,Filip Petrušev,23,2,7,,,,,100%,16.0,15.5,0,0,0,0,1,0,0,0,0
