Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Domantas Sabonis,27,56,56,1997,8.2,13.3,0.619,0.5,1.1,0.419,7.8,12.2,0.638,3.4,4.8,0.698,3.3,10.0,13.4,8.5,0.9,0.5,3.3,3.2,20.3
2,De'Aaron Fox,26,50,50,1779,9.8,20.9,0.47,2.9,7.8,0.371,6.9,13.1,0.528,4.7,6.6,0.709,0.9,3.3,4.2,5.7,1.9,0.4,2.6,2.6,27.2
3,Keegan Murray,23,52,52,1697,6.2,13.5,0.46,2.4,6.8,0.354,3.8,6.6,0.569,1.5,1.8,0.812,1.4,4.5,5.9,1.8,1.2,0.7,1.0,2.9,16.3
4,Harrison Barnes,31,56,56,1665,5.1,10.6,0.487,2.3,5.8,0.4,2.8,4.7,0.594,2.2,2.7,0.811,1.0,2.6,3.6,1.4,0.9,0.2,0.8,1.5,14.9
5,Malik Monk,25,55,0,1425,7.4,16.4,0.449,3.1,8.3,0.372,4.3,8.1,0.528,3.3,4.0,0.822,0.5,3.3,3.8,7.3,0.8,0.9,3.0,2.8,21.1
6,Kevin Huerter,25,54,49,1354,6.0,13.1,0.458,3.0,8.0,0.377,3.0,5.0,0.587,0.9,1.1,0.791,0.9,4.4,5.2,3.8,1.0,0.6,1.1,3.0,15.9
7,Trey Lyles,28,41,0,807,4.6,10.0,0.455,2.9,7.3,0.399,1.7,2.7,0.607,1.5,2.3,0.667,1.7,6.4,8.2,2.1,0.6,0.5,1.2,2.6,13.5
8,Davion Mitchell,25,46,3,608,3.9,9.7,0.402,1.6,5.0,0.318,2.3,4.7,0.494,1.1,1.5,0.72,0.4,2.3,2.7,4.6,0.6,0.1,1.5,3.3,10.5
9,Chris Duarte,26,39,11,508,3.5,9.6,0.37,1.8,5.5,0.338,1.7,4.1,0.414,1.5,1.9,0.778,1.1,4.0,5.1,2.3,1.4,0.1,1.4,4.5,10.4
10,Sasha Vezenkov,28,35,0,440,6.1,13.5,0.448,3.1,8.2,0.38,2.9,5.3,0.554,0.8,1.1,0.769,2.5,4.6,7.0,1.2,1.3,0.6,0.9,2.9,16.0
11,Keon Ellis,24,33,3,379,3.6,8.5,0.422,2.6,6.9,0.37,1.0,1.6,0.647,1.0,1.6,0.647,0.9,3.0,3.9,3.6,1.3,1.2,1.6,4.4,10.8
12,JaVale McGee,36,39,0,310,8.5,13.5,0.629,0.0,0.5,0.0,8.5,13.0,0.652,2.9,5.0,0.581,4.3,8.7,13.0,1.6,1.0,2.2,3.6,5.1,19.9
13,Alex Len,30,23,0,197,4.6,7.5,0.61,0.0,0.5,0.0,4.6,6.9,0.658,1.3,2.7,0.467,5.1,7.5,12.6,4.0,1.1,2.0,2.6,4.9,10.4
14,Kessler Edwards,23,38,0,179,4.2,10.3,0.412,2.4,6.6,0.364,1.8,3.6,0.5,0.6,0.8,0.75,1.0,4.6,5.6,1.8,0.8,0.8,0.2,3.4,11.5
15,Colby Jones,21,17,0,121,5.1,13.7,0.37,0.3,3.9,0.077,4.8,9.8,0.485,0.6,1.5,0.4,3.0,4.5,7.4,3.0,1.2,0.3,1.5,4.8,11.0
16,Juan Toscano-Anderson,30,11,0,53,2.0,8.2,0.25,0.7,2.7,0.25,1.4,5.4,0.25,0.0,0.0,,2.7,6.8,9.5,2.7,0.7,0.7,1.4,7.5,4.8
17,Jordan Ford,25,6,0,22,6.5,11.5,0.571,3.3,4.9,0.667,3.3,6.5,0.5,3.3,3.3,1.0,0.0,3.3,3.3,3.3,0.0,0.0,1.6,0.0,19.6
18,Jalen Slawson,24,5,0,19,3.8,5.7,0.667,0.0,1.9,0.0,3.8,3.8,1.0,0.0,0.0,,0.0,7.6,7.6,3.8,0.0,1.9,3.8,5.7,7.6
19,Filip Petrušev,23,2,0,7,5.1,10.3,0.5,0.0,0.0,,5.1,10.3,0.5,5.1,10.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,15.4
