Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Domantas Sabonis,27.0,56,56.0,1997,457,738,0.619,26,62,0.419,431,676,0.638,0.637,187,268,0.698,185,556,741,473,49,30,183,175,1127
2.0,De'Aaron Fox,26.0,50,50.0,1779,485,1033,0.47,143,385,0.371,342,648,0.528,0.539,232,327,0.709,45,163,208,280,95,20,129,130,1345
3.0,Keegan Murray,23.0,52,52.0,1697,292,635,0.46,114,322,0.354,178,313,0.569,0.55,69,85,0.812,64,212,276,86,55,33,46,138,767
4.0,Harrison Barnes,31.0,56,56.0,1665,238,489,0.487,108,270,0.4,130,219,0.594,0.597,103,127,0.811,45,120,165,64,40,9,39,71,687
5.0,Malik Monk,25.0,55,0.0,1425,292,650,0.449,122,328,0.372,170,322,0.528,0.543,129,157,0.822,19,132,151,287,32,36,119,110,835
6.0,Kevin Huerter,25.0,54,49.0,1354,225,491,0.458,114,302,0.377,111,189,0.587,0.574,34,43,0.791,32,164,196,142,36,21,42,114,598
7.0,Trey Lyles,28.0,41,0.0,807,102,224,0.455,65,163,0.399,37,61,0.607,0.6,34,51,0.667,39,144,183,47,13,11,26,59,303
8.0,Davion Mitchell,25.0,46,3.0,608,66,164,0.402,27,85,0.318,39,79,0.494,0.485,18,25,0.72,7,39,46,77,10,2,25,56,177
9.0,Chris Duarte,26.0,39,11.0,508,50,135,0.37,26,77,0.338,24,58,0.414,0.467,21,27,0.778,16,56,72,33,20,2,20,63,147
10.0,Sasha Vezenkov,28.0,35,0.0,440,74,165,0.448,38,100,0.38,36,65,0.554,0.564,10,13,0.769,30,56,86,15,16,7,11,35,196
11.0,Keon Ellis,24.0,33,3.0,379,38,90,0.422,27,73,0.37,11,17,0.647,0.572,11,17,0.647,9,32,41,38,14,13,17,46,114
12.0,JaVale McGee,36.0,39,0.0,310,73,116,0.629,0,4,0.0,73,112,0.652,0.629,25,43,0.581,37,75,112,14,9,19,31,44,171
13.0,Alex Len,30.0,23,0.0,197,25,41,0.61,0,3,0.0,25,38,0.658,0.61,7,15,0.467,28,41,69,22,6,11,14,27,57
14.0,Kessler Edwards,23.0,38,0.0,179,21,51,0.412,12,33,0.364,9,18,0.5,0.529,3,4,0.75,5,23,28,9,4,4,1,17,57
15.0,Colby Jones,21.0,17,0.0,121,17,46,0.37,1,13,0.077,16,33,0.485,0.38,2,5,0.4,10,15,25,10,4,1,5,16,37
16.0,Juan Toscano-Anderson,30.0,11,0.0,53,3,12,0.25,1,4,0.25,2,8,0.25,0.292,0,0,,4,10,14,4,1,1,2,11,7
17.0,Jordan Ford,25.0,6,0.0,22,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,2,1.0,0,2,2,2,0,0,1,0,12
18.0,Jalen Slawson,24.0,5,0.0,19,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,4,4,2,0,1,2,3,4
19.0,Filip Petrušev,23.0,2,0.0,7,1,2,0.5,0,0,,1,2,0.5,0.5,1,2,0.5,0,0,0,0,0,0,0,1,3
,,,56,,13565,2465,5092,0.484,826,2228,0.371,1639,2864,0.572,0.565,888,1211,0.733,575,1844,2419,1605,404,221,749,1116,6644
