Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Anthony Davis,30,55,1962,0.557,7.9,,0.926,0.364,0.324,0.143,0.094,0.074,,0.58,0.755,0.511,0.422,0.382,0.271,,0.684,0.947,,0.157,139,,0.086,0.167,,0,0
2,Austin Reaves,25,59,1838,0.488,16.0,,0.571,0.18,0.18,0.129,0.082,0.429,,0.581,0.798,0.504,0.506,0.389,0.364,,0.402,0.689,,0.011,7,,0.12,0.294,,1,0
3,LeBron James,39,51,1782,0.524,12.0,,0.704,0.332,0.212,0.076,0.083,0.296,,0.576,0.751,0.477,0.286,0.395,0.401,,0.444,0.716,,0.07,60,,0.092,0.4,,1,0
4,D'Angelo Russell,27,54,1698,0.465,16.9,,0.532,0.12,0.205,0.128,0.079,0.468,,0.508,0.789,0.399,0.479,0.407,0.417,,0.351,0.747,,0.001,1,,0.134,0.489,,4,0
5,Taurean Prince,29,56,1671,0.436,18.1,,0.357,0.131,0.153,0.052,0.02,0.643,,0.525,0.672,0.441,0.478,0.333,0.386,,0.867,0.936,,0.014,5,,0.428,0.369,,2,0
6,Rui Hachimura,25,45,1108,0.516,12.9,,0.651,0.294,0.187,0.077,0.09,0.349,,0.571,0.763,0.427,0.452,0.361,0.414,,0.805,0.983,,0.112,41,,0.329,0.435,,0,0
7,Christian Wood,28,50,872,0.466,13.8,,0.568,0.261,0.223,0.042,0.042,0.432,,0.587,0.812,0.424,0.455,0.182,0.307,,0.761,0.971,,0.102,24,,0.228,0.346,,0,0
8,Cam Reddish,24,35,815,0.405,13.8,,0.537,0.283,0.185,0.034,0.034,0.463,,0.464,0.621,0.342,0.143,0.143,0.337,,0.706,1.0,,0.054,9,,0.526,0.38,,0,0
9,Max Christie,20,46,787,0.423,16.6,,0.505,0.138,0.168,0.138,0.061,0.495,,0.495,0.593,0.364,0.556,0.5,0.351,,0.653,0.971,,0.066,12,,0.412,0.425,,1,0
10,Jarred Vanderbilt,24,29,581,0.518,8.1,,0.763,0.474,0.272,0.018,0.0,0.237,,0.586,0.685,0.452,0.0,,0.296,,0.706,1.0,,0.193,21,,0.704,0.316,,1,0
11,Jaxson Hayes,23,48,539,0.691,4.6,,0.936,0.664,0.264,0.0,0.009,0.064,,0.738,0.822,0.517,,1.0,0.0,,0.855,,,0.373,38,,0.143,0.0,,1,0
12,Gabe Vincent,27,5,127,0.375,18.5,,0.469,0.125,0.125,0.031,0.188,0.531,,0.667,0.75,0.75,1.0,0.5,0.118,,0.5,0.5,,0.0,0,,0.235,0.0,,0,0
13,Spencer Dinwiddie,30,5,125,0.31,17.3,,0.414,0.034,0.241,0.138,0.0,0.586,,0.417,1.0,0.429,0.25,,0.235,,0.0,0.75,,0.0,0,,0.588,0.2,,0,0
14,Jalen Hood-Schifino,20,19,103,0.244,15.9,,0.683,0.122,0.22,0.098,0.244,0.317,,0.286,0.6,0.111,0.25,0.3,0.154,,0.625,1.0,,0.024,1,,0.077,0.0,,0,0
15,Maxwell Lewis,21,20,70,0.25,9.8,,0.75,0.333,0.25,0.083,0.083,0.25,,0.222,0.25,0.333,0.0,0.0,0.333,,0.5,1.0,,0.083,0,,0.0,,,0,0
16,Skylar Mays,26,10,63,0.5,11.8,,0.722,0.222,0.333,0.111,0.056,0.278,,0.538,0.5,0.667,0.0,1.0,0.4,,0.714,1.0,,0.056,1,,0.4,0.5,,0,0
17,D'Moi Hodge,25,7,41,0.333,21.8,,0.2,0.133,0.0,0.0,0.067,0.8,,0.667,0.5,,,1.0,0.25,,1.0,1.0,,0.0,0,,0.25,0.333,,0,0
18,Colin Castleton,23,7,36,0.7,3.6,,1.0,0.7,0.2,0.1,0.0,0.0,,0.7,0.714,0.5,1.0,,,,0.714,,,0.2,2,,,,,0,0
19,Dylan Windler,27,8,28,0.444,24.3,,0.111,0.0,0.0,0.111,0.0,0.889,,0.0,,,0.0,,0.5,,,1.0,,0.0,0,,0.25,0.5,,0,0
20,Alex Fudge,20,4,14,0.167,15.9,,0.667,0.0,0.333,0.167,0.167,0.333,,0.25,,0.0,1.0,0.0,0.0,,0.0,,,0.0,0,,0.5,0.0,,0,0
