Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Anthony Davis,30,55,1962,25.6,0.62,0.074,0.396,9.9,27.4,19.0,16.3,1.5,5.9,9.3,26.8,,5.0,3.3,8.3,0.203,,3.4,1.6,5.0,3.5
2,Austin Reaves,25,59,1838,15.6,0.616,0.429,0.314,2.5,11.1,7.0,24.2,1.4,0.6,14.4,20.6,,2.7,1.4,4.1,0.107,,0.7,-0.6,0.1,1.0
3,LeBron James,39,51,1782,22.7,0.613,0.296,0.301,2.9,19.1,11.4,35.8,1.7,1.5,13.6,29.1,,3.2,2.1,5.3,0.143,,5.2,0.8,6.0,3.6
4,D'Angelo Russell,27,54,1698,16.4,0.589,0.468,0.179,1.4,8.4,5.0,29.3,1.3,1.4,11.5,23.2,,2.3,1.2,3.5,0.099,,1.8,-0.9,0.9,1.2
5,Taurean Prince,29,56,1671,8.5,0.573,0.643,0.12,0.9,9.7,5.5,7.3,1.4,1.4,9.9,13.4,,0.1,1.3,1.4,0.042,,-2.9,-0.1,-3.0,-0.4
6,Rui Hachimura,25,45,1108,14.1,0.611,0.349,0.237,3.7,13.0,8.6,6.0,1.3,1.2,6.7,18.5,,1.2,1.0,2.1,0.091,,-0.9,-0.9,-1.8,0.0
7,Christian Wood,28,50,872,12.3,0.568,0.432,0.356,5.2,26.2,16.1,7.4,0.9,3.3,14.1,17.6,,0.0,1.1,1.1,0.062,,-2.8,-0.2,-3.0,-0.2
8,Cam Reddish,24,35,815,8.4,0.519,0.463,0.224,2.7,8.5,5.7,7.2,2.5,1.2,11.8,13.5,,-0.3,0.8,0.6,0.033,,-4.0,1.0,-2.9,-0.2
9,Max Christie,20,46,787,8.1,0.542,0.495,0.209,1.8,14.3,8.3,8.0,1.0,1.8,12.7,13.4,,-0.2,0.7,0.5,0.031,,-3.6,-0.4,-4.0,-0.4
10,Jarred Vanderbilt,24,29,581,11.5,0.578,0.237,0.316,8.2,17.7,13.2,7.8,2.9,0.7,17.7,11.7,,0.2,0.8,1.1,0.087,,-3.0,1.3,-1.7,0.0
11,Jaxson Hayes,23,48,539,13.5,0.689,0.064,0.427,8.4,14.8,11.7,5.4,2.1,3.1,14.4,12.2,,0.8,0.7,1.5,0.13,,-3.3,1.2,-2.0,0.0
12,Gabe Vincent,27,5,127,6.0,0.411,0.531,0.063,1.8,2.5,2.2,14.7,2.2,0.0,5.7,11.8,,-0.1,0.1,0.0,0.01,,-5.6,1.4,-4.2,-0.1
13,Spencer Dinwiddie,30,5,125,3.8,0.402,0.586,0.069,0.0,2.5,1.3,16.5,1.5,0.7,14.3,12.0,,-0.1,0.1,-0.1,-0.027,,-7.1,-0.9,-8.0,-0.2
14,Jalen Hood-Schifino,20,19,103,-0.5,0.337,0.317,0.439,2.3,10.3,6.5,9.7,1.4,1.7,15.5,24.3,,-0.5,0.1,-0.4,-0.201,,-11.8,-3.1,-14.9,-0.3
15,Maxwell Lewis,21,20,70,-1.7,0.292,0.25,0.0,1.7,3.0,2.4,5.0,1.4,0.0,29.4,10.5,,-0.2,0.0,-0.2,-0.128,,-9.0,-2.4,-11.3,-0.2
16,Skylar Mays,26,10,63,11.9,0.556,0.278,0.0,1.8,6.7,4.4,16.8,2.3,1.4,5.3,13.0,,0.1,0.1,0.1,0.094,,-2.5,0.7,-1.8,0.0
17,D'Moi Hodge,25,7,41,6.1,0.441,0.8,0.133,0.0,0.0,0.0,15.7,1.2,2.1,5.9,17.8,,0.0,0.0,0.0,-0.023,,-3.9,-2.6,-6.5,0.0
18,Colin Castleton,23,7,36,18.5,0.765,0.0,0.4,12.9,14.7,13.9,11.9,0.0,0.0,7.8,15.3,,0.2,0.0,0.2,0.232,,-0.2,-1.8,-2.0,0.0
19,Dylan Windler,27,8,28,15.8,0.667,0.889,0.0,0.0,11.4,5.9,28.4,0.0,0.0,0.0,13.9,,0.1,0.0,0.1,0.19,,3.6,-0.6,3.1,0.0
20,Alex Fudge,20,4,14,-2.0,0.291,0.333,0.333,16.6,0.0,7.9,0.0,0.0,0.0,12.7,24.3,,-0.1,0.0,-0.1,-0.227,,-10.0,-8.1,-18.2,-0.1
