Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Anthony Davis,30,55,1962,,,,3%,97%,0.2,3.0,43,37,86,17,157,4,469,41,64
2,Austin Reaves,25,59,1838,46%,53%,1%,,,-2.4,-4.7,75,34,61,10,71,21,757,23,34
3,LeBron James,39,51,1782,,,1%,83%,16%,2.0,7.0,109,37,25,9,149,8,920,49,42
4,D'Angelo Russell,27,54,1698,100%,,,,,1.2,4.7,72,18,55,6,51,16,800,14,24
5,Taurean Prince,29,56,1671,1%,24%,71%,4%,,-4.4,-8.8,33,10,67,2,24,15,220,8,19
6,Rui Hachimura,25,45,1108,,,35%,58%,7%,4.0,7.6,9,11,29,8,47,3,119,10,23
7,Christian Wood,28,50,872,,,46%,51%,3%,0.4,1.6,16,18,48,12,43,2,110,10,12
8,Cam Reddish,24,35,815,4%,64%,31%,1%,,-1.7,-1.4,8,17,30,2,20,3,109,2,17
9,Max Christie,20,46,787,10%,78%,13%,,,-0.9,-0.2,22,5,30,4,18,1,126,1,17
10,Jarred Vanderbilt,24,29,581,,14%,68%,18%,1%,4.6,6.7,11,7,22,5,20,11,86,6,13
11,Jaxson Hayes,23,48,539,,,,2%,98%,-5.4,-5.8,6,1,52,14,20,2,54,8,13
12,Gabe Vincent,27,5,127,44%,56%,,,,-3.2,-2.6,2,0,5,0,1,2,34,0,1
13,Spencer Dinwiddie,30,5,125,41%,59%,,,,13.4,14.7,3,1,4,1,2,1,40,2,1
14,Jalen Hood-Schifino,20,19,103,2%,70%,29%,,,-19.8,-19.8,6,3,7,0,7,0,19,0,5
15,Maxwell Lewis,21,20,70,,13%,75%,11%,1%,-27.5,-27.5,1,3,2,0,0,0,6,0,1
16,Skylar Mays,26,10,63,63%,37%,,,,-3.9,-3.3,0,0,3,0,0,2,20,0,1
17,D'Moi Hodge,25,7,41,100%,,,,,-41.1,-40.9,1,0,2,0,1,0,10,0,0
18,Colin Castleton,23,7,36,,,,,100%,-31.4,-31.1,0,0,4,1,1,0,6,0,0
19,Dylan Windler,27,8,28,,7%,50%,43%,,-4.0,-3.3,0,0,2,0,0,0,14,0,0
20,Alex Fudge,20,4,14,,,,100%,,-71.3,-70.9,0,1,0,0,1,0,0,0,1
