Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Anthony Davis,30,55,55,1962,12.7,22.8,0.557,0.5,1.7,0.271,12.3,21.1,0.58,7.3,9.0,0.81,4.1,12.3,16.3,4.9,1.5,3.2,2.8,3.2,33.2,,124,110
2,Austin Reaves,25,59,34,1838,8.3,17.1,0.488,2.7,7.3,0.364,5.7,9.8,0.581,4.6,5.4,0.865,1.0,5.0,6.0,8.3,1.4,0.3,3.3,2.8,24.0,,119,118
3,LeBron James,39,51,51,1782,12.8,24.5,0.524,2.9,7.3,0.401,9.9,17.2,0.576,5.4,7.4,0.736,1.2,8.5,9.7,10.7,1.7,0.8,4.4,1.6,34.0,,117,115
4,D'Angelo Russell,27,54,47,1698,9.7,20.9,0.465,4.1,9.8,0.417,5.7,11.1,0.508,3.0,3.8,0.806,0.6,3.8,4.3,9.7,1.3,0.8,2.9,3.2,26.6,,117,119
5,Taurean Prince,29,56,49,1671,5.5,12.6,0.436,3.1,8.1,0.386,2.4,4.5,0.525,1.1,1.5,0.717,0.4,4.4,4.7,2.7,1.4,0.7,1.5,3.4,15.2,,108,118
6,Rui Hachimura,25,45,16,1108,8.9,17.2,0.516,2.5,6.0,0.414,6.4,11.2,0.571,3.0,4.1,0.726,1.5,5.8,7.3,2.0,1.3,0.6,1.4,2.7,23.2,,117,117
7,Christian Wood,28,50,1,872,6.7,14.4,0.466,1.9,6.2,0.307,4.8,8.2,0.587,3.6,5.1,0.702,2.1,11.7,13.8,2.7,0.9,1.8,2.7,3.9,18.9,,106,113
8,Cam Reddish,24,35,26,815,4.8,12.0,0.405,1.9,5.5,0.337,3.0,6.4,0.464,2.1,2.7,0.783,1.1,3.8,4.9,2.7,2.5,0.6,1.8,3.2,13.7,,102,116
9,Max Christie,20,46,7,787,5.0,11.8,0.423,2.1,5.9,0.351,3.0,6.0,0.495,1.9,2.5,0.78,0.7,6.4,7.1,3.0,1.0,1.0,1.9,3.2,14.0,,103,117
10,Jarred Vanderbilt,24,29,6,581,4.8,9.3,0.518,0.7,2.2,0.296,4.2,7.1,0.586,2.0,2.9,0.667,3.4,7.9,11.3,2.9,2.9,0.4,2.3,3.5,12.3,,113,113
11,Jaxson Hayes,23,48,3,539,6.7,9.7,0.691,0.0,0.6,0.0,6.7,9.1,0.738,2.5,4.1,0.596,3.4,6.6,10.1,1.9,2.1,1.7,1.9,7.1,15.9,,127,114
12,Gabe Vincent,27,5,0,127,4.5,12.0,0.375,0.7,6.4,0.118,3.7,5.6,0.667,0.4,0.7,0.5,0.7,1.1,1.9,5.6,2.2,0.0,0.7,4.5,10.1,,100,119
13,Spencer Dinwiddie,30,5,0,125,3.4,11.0,0.31,1.5,6.5,0.235,1.9,4.6,0.417,0.8,0.8,1.0,0.0,1.1,1.1,6.5,1.5,0.4,1.9,4.6,9.1,,91,120
14,Jalen Hood-Schifino,20,19,0,103,4.6,18.9,0.244,0.9,6.0,0.154,3.7,12.9,0.286,5.1,8.3,0.611,0.9,4.6,5.5,3.7,1.4,0.9,4.2,6.0,15.2,,69,118
15,Maxwell Lewis,21,20,0,70,2.0,8.2,0.25,0.7,2.0,0.333,1.4,6.1,0.222,0.0,0.0,,0.7,1.4,2.0,2.0,1.4,0.0,3.4,2.0,4.8,,54,121
16,Skylar Mays,26,10,0,63,6.8,13.6,0.5,1.5,3.8,0.4,5.3,9.8,0.538,0.0,0.0,,0.8,3.0,3.8,6.0,2.3,0.8,0.8,3.8,15.1,,120,117
17,D'Moi Hodge,25,7,0,41,5.8,17.4,0.333,3.5,13.9,0.25,2.3,3.5,0.667,1.2,2.3,0.5,0.0,0.0,0.0,5.8,1.2,1.2,1.2,4.6,16.2,,97,121
18,Colin Castleton,23,7,0,36,9.2,13.2,0.7,0.0,0.0,,9.2,13.2,0.7,5.3,5.3,1.0,5.3,6.6,11.9,4.0,0.0,0.0,1.3,9.2,23.8,,155,120
19,Dylan Windler,27,8,0,28,6.8,15.3,0.444,6.8,13.6,0.5,0.0,1.7,0.0,0.0,0.0,,0.0,5.1,5.1,10.2,0.0,0.0,0.0,3.4,20.4,,150,122
20,Alex Fudge,20,4,0,14,3.4,20.4,0.167,0.0,6.8,0.0,3.4,13.6,0.25,6.8,6.8,1.0,6.8,0.0,6.8,0.0,0.0,0.0,3.4,3.4,13.6,,72,125
