No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma"
12,Taurean Prince,PF,6-6,218,"March 22, 1994",us,7,Baylor
3,Anthony Davis,C,6-10,253,"March 11, 1993",us,11,Kentucky
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us,8,Ohio State
23,LeBron James,PF,6-9,250,"December 30, 1984",us,20,
35,Christian Wood,PF,6-8,214,"September 27, 1995",us,7,UNLV
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us,4,Texas
10,Max Christie,SG,6-6,190,"February 10, 2003",us,1,Michigan State
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,4,Gonzaga
5,Cam Reddish,SF,6-8,218,"September 1, 1999",us,4,Duke
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us,5,Kentucky
21,Maxwell Lewis,SF,6-7,195,"July 27, 2002",us,R,Pepperdine
0,Jalen Hood-Schifino,SG,6-6,215,"June 19, 2003",us,R,Indiana
4,Skylar Mays (TW),SG,6-4,205,"September 5, 1997",us,3,LSU
20,Dylan Windler (TW),SF,6-6,196,"September 22, 1996",us,3,Belmont
14,Colin Castleton (TW),C,6-11,250,"May 25, 2000",us,R,"Michigan, Florida"
7,Gabe Vincent,PG,6-3,195,"June 14, 1996",us,4,UC Santa Barbara
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,9,Colorado
