Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Max Strus,27,56,1805,1%,37%,58%,4%,,7.9,6.5,40,21,74,7,28,15,488,7,33
2,Donovan Mitchell,27,45,1596,63%,37%,,,,10.9,12.8,71,43,45,5,110,4,687,24,43
3,Jarrett Allen,25,51,1580,,,,,100%,8.8,7.4,49,19,62,19,81,14,323,15,45
4,Caris LeVert,29,46,1261,8%,68%,24%,,,3.7,-3.9,39,16,43,5,61,10,502,6,32
5,Isaac Okoro,23,47,1231,,3%,78%,18%,,6.2,0.9,14,13,39,8,53,12,209,16,28
6,Georges Niang,30,56,1206,,,18%,80%,1%,0.2,-9.8,22,12,70,4,20,6,164,4,11
7,Darius Garland,24,32,1031,100%,,,,,4.7,-1.7,62,24,14,6,53,9,464,11,21
8,Evan Mobley,22,33,1026,,,,46%,54%,2.4,-5.4,17,22,67,8,48,3,217,11,27
9,Dean Wade,27,47,962,,,7%,88%,5%,11.7,9.3,8,7,48,1,7,11,89,1,2
10,Sam Merrill,27,40,608,21%,75%,4%,,,1.7,-5.1,4,2,20,3,4,13,148,1,10
11,Craig Porter Jr.,23,34,478,87%,14%,,,,2.2,-4.2,24,6,25,1,22,1,229,6,12
12,Tristan Thompson,32,36,446,,,1%,21%,79%,7.3,1.9,6,4,20,8,11,0,101,1,9
13,Damian Jones,28,25,150,,,,,100%,-10.3,-16.8,2,1,7,5,7,0,33,3,2
14,Emoni Bates,20,10,76,,21%,77%,2%,,-37.5,-44.4,1,0,4,0,1,0,17,0,1
15,Ty Jerome,26,2,15,38%,62%,,,,-38.0,-44.0,1,0,2,0,0,0,7,0,0
16,Isaiah Mobley,24,3,14,,,29%,71%,,-18.2,-24.1,0,0,1,1,0,0,11,0,0
17,Pete Nance,23,2,4,,,,100%,,50.0,44.3,0,0,0,0,0,0,0,0,0
