Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Max Strus,27,56,56,1805,4.9,11.8,0.415,2.6,7.8,0.333,2.3,4.0,0.571,1.2,1.5,0.773,1.0,4.4,5.4,4.2,1.0,0.5,1.7,2.8,13.6
2,Donovan Mitchell,27,45,45,1596,9.9,20.9,0.472,3.3,9.2,0.363,6.5,11.7,0.558,5.4,6.3,0.867,0.9,4.5,5.5,6.3,1.9,0.5,2.8,2.2,28.5
3,Jarrett Allen,25,51,51,1580,7.6,11.9,0.643,0.0,0.1,0.0,7.6,11.8,0.649,3.2,4.4,0.727,3.9,8.4,12.3,3.2,0.9,1.3,2.0,2.6,18.5
4,Caris LeVert,29,46,1,1261,6.7,16.2,0.417,2.1,6.5,0.328,4.6,9.6,0.478,2.9,3.9,0.763,0.7,4.2,4.9,5.8,1.2,0.6,1.9,2.3,18.6
5,Isaac Okoro,23,47,26,1231,4.6,9.2,0.497,1.5,3.7,0.391,3.1,5.4,0.57,2.0,2.9,0.694,1.5,2.6,4.2,2.6,1.1,0.6,1.1,2.7,12.6
6,Georges Niang,30,56,1,1206,5.5,12.6,0.437,2.8,7.9,0.361,2.7,4.7,0.563,1.1,1.3,0.822,0.5,5.5,6.0,1.9,0.4,0.4,1.3,4.0,14.9
7,Darius Garland,24,32,32,1031,7.4,15.8,0.469,2.0,5.8,0.339,5.4,10.0,0.544,3.6,4.2,0.858,0.5,2.1,2.6,6.9,1.6,0.1,3.6,1.5,20.4
8,Evan Mobley,22,33,33,1026,7.6,12.9,0.589,0.4,0.9,0.4,7.2,12.0,0.602,2.6,3.6,0.728,2.7,8.8,11.6,3.2,1.0,1.8,2.3,3.4,18.1
9,Dean Wade,27,47,30,962,3.1,7.5,0.408,2.6,6.5,0.394,0.5,1.0,0.5,0.6,0.7,0.789,1.2,6.0,7.2,1.4,1.4,0.7,0.7,3.2,9.3
10,Sam Merrill,27,40,0,608,6.1,14.0,0.435,5.3,12.1,0.434,0.8,1.9,0.438,0.7,0.7,0.917,0.9,3.4,4.3,3.6,0.8,0.1,0.7,2.5,18.1
11,Craig Porter Jr.,23,34,5,478,6.5,12.8,0.506,0.5,1.6,0.333,5.9,11.2,0.53,2.4,3.5,0.696,1.1,4.9,6.0,6.9,1.3,0.9,2.5,2.3,15.9
12,Tristan Thompson,32,36,0,446,4.9,7.6,0.649,0.0,0.1,0.0,4.9,7.5,0.656,1.0,3.4,0.31,4.8,6.5,11.3,3.2,0.6,0.9,1.9,4.0,10.9
13,Damian Jones,28,25,0,150,4.1,7.7,0.531,0.5,1.7,0.286,3.6,6.0,0.6,2.4,2.6,0.909,2.2,5.8,7.9,2.9,0.7,2.4,2.2,3.8,11.0
14,Emoni Bates,20,10,0,76,2.8,11.8,0.24,2.4,9.5,0.25,0.5,2.4,0.2,0.5,0.9,0.5,0.5,4.3,4.7,2.8,0.5,0.9,0.5,2.4,8.5
15,Ty Jerome,26,2,0,15,4.8,9.6,0.5,0.0,2.4,0.0,4.8,7.2,0.667,0.0,0.0,,2.4,0.0,2.4,7.2,0.0,0.0,2.4,4.8,9.6
16,Isaiah Mobley,24,3,0,14,5.1,10.3,0.5,2.6,5.1,0.5,2.6,5.1,0.5,0.0,0.0,,0.0,5.1,5.1,10.3,2.6,0.0,2.6,5.1,12.9
17,Pete Nance,23,2,0,4,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
