Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Max Strus,27,56,1805,0.415,18.1,,0.342,0.241,0.079,0.013,0.008,0.658,,0.571,0.643,0.319,0.875,0.4,0.333,,0.681,0.969,,0.037,20,,0.231,0.333,,2,0
2,Donovan Mitchell,27,45,1596,0.472,16.1,,0.56,0.224,0.131,0.102,0.102,0.44,,0.558,0.712,0.434,0.442,0.495,0.363,,0.248,0.534,,0.022,17,,0.044,0.333,,1,0
3,Jarrett Allen,25,51,1580,0.643,4.2,,0.99,0.559,0.324,0.088,0.019,0.01,,0.649,0.735,0.562,0.5,0.3,0.0,,0.797,,,0.244,108,,0.2,0.0,,0,0
4,Caris LeVert,29,46,1261,0.417,13.8,,0.595,0.242,0.217,0.12,0.016,0.405,,0.478,0.628,0.366,0.382,0.444,0.328,,0.379,0.72,,0.041,21,,0.175,0.325,,1,0
5,Isaac Okoro,23,47,1231,0.497,11.6,,0.592,0.427,0.153,0.01,0.003,0.408,,0.57,0.634,0.417,0.0,1.0,0.391,,0.783,1.0,,0.051,14,,0.641,0.427,,1,0
6,Georges Niang,30,56,1206,0.437,17.9,,0.375,0.116,0.2,0.052,0.007,0.625,,0.563,0.694,0.476,0.636,0.333,0.361,,0.685,0.979,,0.0,0,,0.338,0.303,,0,0
7,Darius Garland,24,32,1031,0.469,14.5,,0.635,0.199,0.241,0.119,0.075,0.365,,0.544,0.667,0.486,0.481,0.5,0.339,,0.333,0.714,,0.0,0,,0.152,0.36,,0,0
8,Evan Mobley,22,33,1026,0.589,5.9,,0.932,0.499,0.319,0.079,0.035,0.068,,0.602,0.776,0.427,0.414,0.154,0.4,,0.718,1.0,,0.256,92,,0.44,0.273,,0,0
9,Dean Wade,27,47,962,0.408,22.7,,0.129,0.065,0.015,0.02,0.03,0.871,,0.5,0.692,0.0,0.5,0.333,0.394,,0.615,0.986,,0.02,3,,0.366,0.453,,0,0
10,Sam Merrill,27,40,608,0.435,22.8,,0.135,0.068,0.051,0.013,0.004,0.865,,0.438,0.5,0.5,0.0,0.0,0.434,,0.786,0.955,,0.0,0,,0.19,0.513,,0,0
11,Craig Porter Jr.,23,34,478,0.506,9.5,,0.876,0.335,0.253,0.206,0.082,0.124,,0.53,0.632,0.488,0.429,0.5,0.333,,0.354,0.857,,0.024,3,,0.19,0.25,,1,0
12,Tristan Thompson,32,36,446,0.649,3.4,,0.989,0.67,0.287,0.032,0.0,0.011,,0.656,0.746,0.481,0.333,,0.0,,0.541,,,0.202,17,,0.0,,,1,0
13,Damian Jones,28,25,150,0.531,9.1,,0.781,0.5,0.156,0.031,0.094,0.219,,0.6,0.75,0.2,1.0,0.333,0.286,,0.867,1.0,,0.219,7,,0.714,0.4,,0,0
14,Emoni Bates,20,10,76,0.24,23.1,,0.2,0.08,0.04,0.0,0.08,0.8,,0.2,0.0,0.0,,0.5,0.25,,0.0,1.0,,0.0,0,,0.1,0.5,,0,0
15,Ty Jerome,26,2,15,0.5,10.6,,0.75,0.25,0.25,0.25,0.0,0.25,,0.667,0.0,1.0,1.0,,0.0,,0.0,,,0.0,0,,0.0,,,0,0
16,Isaiah Mobley,24,3,14,0.5,14.7,,0.5,0.25,0.25,0.0,0.0,0.5,,0.5,1.0,0.0,,,0.5,,0.0,1.0,,0.0,0,,0.5,0.0,,0,0
17,Pete Nance,23,2,4,0.0,6.4,,1.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,,0.0,,,,,,,0.0,0,,,,,0,0
