Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,56.0,13490,2382,4931,0.483,737,2045,0.36,1645,2886,0.57,908,1180,0.769,586,1920,2506,1535,423,271,753,1033,6409
Team/G,,240.9,42.5,88.1,0.483,13.2,36.5,0.36,29.4,51.5,0.57,16.2,21.1,0.769,10.5,34.3,44.8,27.4,7.6,4.8,13.4,18.4,114.4
Lg Rank,,28,17,24,12.0,12,10,19.0,18,25,5.0,23,22,19.0,16,6,7,10,14,21,17,6,16
Year/Year,,-0.6%,2.3%,3.4%,-0.005,13.6%,15.7%,-0.007,-2.0%,-3.8%,0.011,-7.6%,-6.3%,-0.011,7.9%,9.2%,8.9%,9.9%,5.7%,3.3%,0.8%,-3.0%,2.0%
Opponent,56.0,13490,2235,4909,0.455,677,1880,0.36,1558,3029,0.514,966,1231,0.785,564,1793,2357,1354,424,276,772,1087,6113
Opponent/G,,240.9,39.9,87.7,0.455,12.1,33.6,0.36,27.8,54.1,0.514,17.3,22.0,0.785,10.1,32.0,42.1,24.2,7.6,4.9,13.8,19.4,109.2
Lg Rank,,28,2,10,4.0,8,8,11.0,6,15,3.0,12,9,16.0,7,8,8,1,19,14,15,13,2
Year/Year,,-0.6%,2.2%,5.0%,-0.012,7.3%,9.8%,-0.008,0.2%,2.2%,-0.01,-1.6%,-1.9%,0.002,3.1%,1.8%,2.1%,5.0%,8.0%,12.3%,-12.0%,-5.0%,2.1%
