Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Max Strus,27,56,1805,11.2,0.543,0.658,0.126,3.1,13.3,8.3,15.8,1.4,1.3,11.8,17.1,,0.8,2.6,3.4,0.09,,-1.4,0.9,-0.5,0.7
2,Donovan Mitchell,27,45,1596,23.6,0.602,0.44,0.3,3.0,13.6,8.4,28.9,2.6,1.3,10.6,32.0,,3.7,2.8,6.4,0.194,,5.5,1.7,7.2,3.7
3,Jarrett Allen,25,51,1580,21.8,0.669,0.01,0.372,12.4,25.2,19.0,13.1,1.2,3.3,12.8,19.1,,4.2,3.0,7.2,0.219,,1.8,1.4,3.2,2.1
4,Caris LeVert,29,46,1261,14.4,0.52,0.405,0.239,2.3,12.7,7.6,23.3,1.6,1.4,9.7,23.9,,0.7,1.8,2.5,0.095,,-0.6,0.5,-0.1,0.6
5,Isaac Okoro,23,47,1231,12.0,0.602,0.408,0.312,4.9,7.9,6.4,9.6,1.6,1.6,9.2,13.9,,1.6,1.6,3.2,0.126,,-1.6,1.2,-0.4,0.5
6,Georges Niang,30,56,1206,9.5,0.567,0.625,0.107,1.7,16.6,9.3,7.4,0.5,0.9,8.9,17.4,,0.4,1.5,1.9,0.075,,-2.7,-0.1,-2.9,-0.3
7,Darius Garland,24,32,1031,15.4,0.577,0.365,0.265,1.5,6.4,4.0,28.4,2.1,0.3,17.1,25.7,,0.5,1.4,1.9,0.087,,0.4,-0.7,-0.2,0.5
8,Evan Mobley,22,33,1026,19.4,0.627,0.068,0.281,8.6,26.7,17.8,13.2,1.3,4.5,13.6,20.2,,1.6,2.1,3.7,0.172,,0.2,2.2,2.4,1.1
9,Dean Wade,27,47,962,9.9,0.592,0.871,0.095,3.9,18.1,11.1,4.8,1.9,1.7,8.3,10.3,,0.7,1.6,2.4,0.118,,-2.0,2.1,0.1,0.5
10,Sam Merrill,27,40,608,15.2,0.632,0.865,0.051,2.8,10.4,6.7,14.1,1.1,0.1,4.3,18.1,,1.4,0.7,2.1,0.165,,2.5,-0.1,2.4,0.7
11,Craig Porter Jr.,23,34,478,15.7,0.555,0.124,0.271,3.6,14.8,9.3,27.4,1.7,2.2,14.8,20.3,,0.4,0.8,1.2,0.121,,-0.8,1.7,0.9,0.3
12,Tristan Thompson,32,36,446,14.3,0.6,0.011,0.447,15.0,19.7,17.4,12.0,0.9,2.2,17.0,13.2,,0.6,0.7,1.3,0.142,,-1.8,0.9,-0.9,0.1
13,Damian Jones,28,25,150,12.9,0.624,0.219,0.344,6.8,17.4,12.2,10.4,1.0,5.9,19.6,13.3,,0.1,0.3,0.4,0.128,,-3.2,2.8,-0.5,0.1
14,Emoni Bates,20,10,76,3.7,0.348,0.8,0.08,1.5,12.9,7.3,9.8,0.6,2.3,3.7,15.4,,-0.1,0.1,0.0,-0.019,,-5.3,-0.8,-6.1,-0.1
15,Ty Jerome,26,2,15,7.6,0.5,0.25,0.0,7.6,0.0,3.7,26.7,0.0,0.0,20.0,14.5,,0.0,0.0,0.0,0.051,,-4.2,-0.6,-4.8,0.0
16,Isaiah Mobley,24,3,14,16.0,0.625,0.5,0.0,0.0,15.5,7.9,38.6,3.5,0.0,20.0,15.5,,0.0,0.0,0.1,0.188,,0.7,4.5,5.2,0.0
17,Pete Nance,23,2,4,-18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,,0.0,0.0,0.0,-0.49,,-19.4,-9.0,-28.4,0.0
