Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Max Strus,27.0,56,56.0,1805,246,593,0.415,130,390,0.333,116,203,0.571,0.524,58,75,0.773,49,221,270,213,51,26,84,142,680
2.0,Donovan Mitchell,27.0,45,45.0,1596,438,928,0.472,148,408,0.363,290,520,0.558,0.552,241,278,0.867,42,200,242,281,85,23,125,98,1265
3.0,Jarrett Allen,25.0,51,51.0,1580,335,521,0.643,0,5,0.0,335,516,0.649,0.643,141,194,0.727,173,367,540,139,39,58,89,114,811
4.0,Caris LeVert,29.0,46,1.0,1261,236,566,0.417,75,229,0.328,161,337,0.478,0.483,103,135,0.763,26,147,173,204,42,20,67,80,650
5.0,Isaac Okoro,23.0,47,26.0,1231,156,314,0.497,50,128,0.391,106,186,0.57,0.576,68,98,0.694,53,89,142,89,39,22,36,94,430
6.0,Georges Niang,30.0,56,1.0,1206,184,421,0.437,95,263,0.361,89,158,0.563,0.55,37,45,0.822,18,184,202,65,13,12,43,133,500
7.0,Darius Garland,24.0,32,32.0,1031,212,452,0.469,56,165,0.339,156,287,0.544,0.531,103,120,0.858,14,61,75,198,45,4,104,43,583
8.0,Evan Mobley,22.0,33,33.0,1026,216,367,0.589,10,25,0.4,206,342,0.602,0.602,75,103,0.728,78,252,330,91,28,52,65,96,517
9.0,Dean Wade,27.0,47,30.0,962,82,201,0.408,69,175,0.394,13,26,0.5,0.58,15,19,0.789,33,160,193,37,37,18,19,85,248
10.0,Sam Merrill,27.0,40,0.0,608,103,237,0.435,89,205,0.434,14,32,0.438,0.622,11,12,0.917,15,58,73,61,14,1,11,43,306
11.0,Craig Porter Jr.,23.0,34,5.0,478,86,170,0.506,7,21,0.333,79,149,0.53,0.526,32,46,0.696,15,65,80,92,17,12,33,30,211
12.0,Tristan Thompson,32.0,36,0.0,446,61,94,0.649,0,1,0.0,61,93,0.656,0.649,13,42,0.31,59,81,140,40,8,11,23,50,135
13.0,Damian Jones,28.0,25,0.0,150,17,32,0.531,2,7,0.286,15,25,0.6,0.563,10,11,0.909,9,24,33,12,3,10,9,16,46
14.0,Emoni Bates,20.0,10,0.0,76,6,25,0.24,5,20,0.25,1,5,0.2,0.34,1,2,0.5,1,9,10,6,1,2,1,5,18
15.0,Ty Jerome,26.0,2,0.0,15,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4
16.0,Isaiah Mobley,24.0,3,0.0,14,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,2,2,4,1,0,1,2,5
17.0,Pete Nance,23.0,2,0.0,4,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0
,,,56,,13490,2382,4931,0.483,737,2045,0.36,1645,2886,0.57,0.558,908,1180,0.769,586,1920,2506,1535,423,271,753,1033,6409
