Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
4,Khris Middleton,29:04,6.0,11.0,0.545,1.0,3.0,0.333,1.0,1.0,1.0,1.0,8.0,9.0,7.0,1.0,0.0,1.0,3.0,14.0,14.0,IndianaPacersatMilwaukeeBucksBoxScore December13,,,,,,,,,,,,,,,
4,Khris Middleton,29:36,7.0,13.0,0.538,4.0,5.0,0.8,2.0,2.0,1.0,1.0,6.0,7.0,4.0,2.0,0.0,4.0,2.0,20.0,-3.0,IndianaPacersatMilwaukeeBucksBoxScore December7,,,,,,,,,,,,,,,
4,Khris Middleton,31:40,9.0,13.0,0.692,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,3.0,6.0,1.0,0.0,4.0,5.0,21.0,5.0,IndianaPacersatMilwaukeeBucksBoxScore January1,,,,,,,,,,,,,,,
4,Khris Middleton,17:03,1.0,4.0,0.25,0.0,2.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,5.0,14.0,MiamiHeatatMilwaukeeBucksBoxScore October30,,,,,,,,,,,,,,,
4,Khris Middleton,26:40,,,,,,,,,,,,,,,,,,,,MilwaukeeBucksatChicagoBullsBoxScore November30,0.369,0.35,0.4,0.5,0.0,12.4,6.3,15.7,3.6,0.0,19.7,24.4,70.0,106.0,-10.0
4,Khris Middleton,26:21,6.0,12.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,4.0,7.0,1.0,0.0,2.0,1.0,14.0,11.0,NewYorkKnicksatMilwaukeeBucksBoxScore December5,,,,,,,,,,,,,,,
4,Khris Middleton,21:01,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.0,6.0,9.0,4.0,0.0,0.0,0.0,1.0,12.0,-2.0,NewYorkKnicksatMilwaukeeBucksBoxScore November3,,,,,,,,,,,,,,,
3,Khris Middleton,28:49,5.0,11.0,0.455,2.0,7.0,0.286,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,14.0,11.0,OrlandoMagicatMilwaukeeBucksBoxScore December21,,,,,,,,,,,,,,,
4,Khris Middleton,16:12,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,6.0,14.0,Philadelphia76ersatMilwaukeeBucksBoxScore October26,,,,,,,,,,,,,,,
3,Khris Middleton,28:22,7.0,15.0,0.467,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,17.0,12.0,SanAntonioSpursatMilwaukeeBucksBoxScore December19,,,,,,,,,,,,,,,
2,Khris Middleton,33:33,7.0,16.0,0.438,3.0,6.0,0.5,6.0,6.0,1.0,0.0,3.0,3.0,8.0,2.0,1.0,3.0,1.0,23.0,-8.0,UtahJazzatMilwaukeeBucksBoxScore January8,,,,,,,,,,,,,,,
4,Khris Middleton,12:47,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,WashingtonWizardsatMilwaukeeBucksBoxScore November24,,,,,,,,,,,,,,,
