Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,De'Aaron Fox,40:46,10.0,20.0,0.5,8.0,16.0,0.5,3.0,7.0,0.429,1.0,4.0,5.0,8.0,5.0,0.0,3.0,3.0,31.0,9.0,SacramentoKingsatAtlantaHawksBoxScore December29,,,,,,,,,,,,,,,
1,De'Aaron Fox,28:14,8.0,14.0,0.571,3.0,7.0,0.429,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,19.0,25.0,SacramentoKingsatCharlotteHornetsBoxScore January10,,,,,,,,,,,,,,,
1,De'Aaron Fox,35:25,13.0,24.0,0.542,5.0,11.0,0.455,10.0,12.0,0.833,0.0,4.0,4.0,4.0,5.0,0.0,3.0,5.0,41.0,5.0,SacramentoKingsatChicagoBullsBoxScore February3,,,,,,,,,,,,,,,
0,De'Aaron Fox,35:25,8.0,20.0,0.4,3.0,9.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,19.0,-12.0,SacramentoKingsatClevelandCavaliersBoxScore February5,,,,,,,,,,,,,,,
2,De'Aaron Fox,37:22,13.0,24.0,0.542,1.0,5.0,0.2,7.0,8.0,0.875,1.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,34.0,18.0,SacramentoKingsatDallasMavericksBoxScore January27,,,,,,,,,,,,,,,
4,De'Aaron Fox,31:14,10.0,20.0,0.5,6.0,10.0,0.6,4.0,5.0,0.8,1.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,30.0,2.0,SacramentoKingsatDallasMavericksBoxScore November19,,,,,,,,,,,,,,,
2,De'Aaron Fox,33:18,10.0,19.0,0.526,4.0,7.0,0.571,2.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,5.0,2.0,26.0,2.0,SacramentoKingsatDetroitPistonsBoxScore January9,,,,,,,,,,,,,,,
2,De'Aaron Fox,35:34,9.0,16.0,0.563,3.0,7.0,0.429,8.0,8.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,29.0,-12.0,SacramentoKingsatGoldenStateWarriorsBoxScore January25,,,,,,,,,,,,,,,
1,De'Aaron Fox,35:07,11.0,21.0,0.524,1.0,5.0,0.2,2.0,6.0,0.333,0.0,3.0,3.0,3.0,6.0,1.0,3.0,1.0,25.0,7.0,SacramentoKingsatIndianaPacersBoxScore February2,,,,,,,,,,,,,,,
2,De'Aaron Fox,25:02,5.0,16.0,0.313,3.0,7.0,0.429,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,14.0,-14.0,SacramentoKingsatLosAngelesClippersBoxScore December12,,,,,,,,,,,,,,,
