,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Luka Dončić,40:00,11,22,.500,6,12,.500,7,10,.700,0,12,12,12,1,1,6,4,35,+6
1,Josh Green,34:16,5,10,.500,2,4,.500,0,0,,1,1,2,3,1,0,1,0,12,+4
2,Grant Williams,31:12,4,8,.500,4,8,.500,3,4,.750,1,2,3,2,0,0,1,1,15,+18
3,Derrick Jones Jr.,26:40,7,10,.700,4,6,.667,4,6,.667,0,4,4,0,0,0,1,0,22,+12
4,Dereck Lively II,13:38,1,2,.500,0,0,,0,0,,1,5,6,0,0,1,0,5,2,-2
5,player,,,,,,,,,,,,,,,,,,,,
6,Tim Hardaway Jr.,29:14,8,14,.571,3,7,.429,2,2,1.000,0,5,5,0,0,0,1,1,21,+6
7,Maxi Kleber,22:08,2,4,.500,1,3,.333,2,2,1.000,1,4,5,2,1,0,2,2,7,+7
8,Seth Curry,14:40,1,5,.200,1,3,.333,0,0,,0,2,2,2,1,1,1,2,3,+14
9,Dwight Powell,12:14,0,0,,0,0,,0,0,,2,3,5,0,0,4,1,1,0,+10
10,Jaden Hardy,9:43,2,6,.333,2,4,.500,0,0,,0,0,0,1,0,0,1,1,6,-7
11,Dante Exum,6:15,1,3,.333,0,0,,0,0,,0,4,4,2,0,0,0,0,2,+7
12,Richaun Holmes,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Markieff Morris,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Olivier-Maxence Prosper,Did Not Play,,,,,,,,,,,,,,,,,,,
