,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Klay Thompson,34:07,.450,.450,.400,.000,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.4,103,124,-5.2
1,Stephen Curry,32:44,.636,.625,.450,.050,3.9,9.0,6.7,42.1,2.9,4.6,19.7,32.9,109,112,8.1
2,Andrew Wiggins,30:50,.576,.577,.231,.154,4.1,12.7,8.9,4.7,0.0,9.7,6.7,20.4,109,116,0.5
3,Dario Šarić,23:29,.838,.750,.833,.667,0.0,29.2,16.4,16.2,0.0,6.4,34.0,21.2,111,110,1.7
4,Kevon Looney,17:45,1.000,1.000,.000,.000,7.1,22.1,15.5,16.3,2.7,0.0,20.0,11.9,159,109,8.8
5,player,,,,,,,,,,,,,,,,
6,Jonathan Kuminga,29:07,.542,.528,.278,.056,8.7,30.3,20.8,0.0,0.0,0.0,14.0,31.2,92,112,-6.5
7,Brandin Podziemski,26:53,.333,.333,.250,.000,9.4,7.3,8.2,19.4,0.0,0.0,14.3,22.0,79,121,-11.4
8,Draymond Green,23:30,.717,.625,.250,.500,0.0,29.2,16.4,20.5,2.0,0.0,38.1,14.2,102,108,-1.4
9,Trayce Jackson-Davis,9:45,.000,.000,.000,.000,0.0,20.1,11.3,11.2,0.0,15.4,0.0,8.7,32,110,-9.5
10,Cory Joseph,6:44,.000,.000,1.000,.000,0.0,0.0,0.0,16.2,0.0,0.0,0.0,6.3,55,125,-8.4
11,Lester Quinones,5:04,,,,,0.0,0.0,0.0,21.5,0.0,29.6,,0.0,223,113,9.5
12,Jerome Robinson,Did Not Play,,,,,,,,,,,,,,,
